,Departamento,DPTO_CCDGO,Codigo_Departamento,Total_votos,votos_en_blanco,votos_no_marcados,votos_nulos,Total_votos_No_Validos,votos_en_blanco_Norm,votos_no_marcados_Norm,votos_nulos_Norm,Total_votos_No_Validos_Norm,Total_Partidos,Total_Partidos_95,Partido_1,Partido_2,Partido_3,Partido_4,Partido_5,ALF_Sabe_Leer,ALF_No_Sabe_Leer,ALF_SININF,ALF_Sabe_Leer_Norm,ALF_No_Sabe_Leer_Norm,ALF_SININF_Norm,EDAD_0-4_anos,EDAD_5-9_anos,EDAD_10-14_anos,EDAD_15-19_anos,EDAD_20-24_anos,EDAD_25-29_anos,EDAD_30-34_anos,EDAD_35-39_anos,EDAD_40-44_anos,EDAD_45-49_anos,EDAD_50-54_anos,EDAD_55-59_anos,EDAD_60-64_anos,EDAD_65-69_anos,EDAD_70-74_anos,EDAD_75-79_anos,EDAD_80-84_anos,EDAD_85_anos_y_mas,EDAD_0-4_anos_Norm_Norm,EDAD_5-9_anos_Norm_Norm,EDAD_10-14_anos_Norm_Norm,EDAD_15-19_anos_Norm_Norm,EDAD_20-24_anos_Norm_Norm,EDAD_25-29_anos_Norm_Norm,EDAD_30-34_anos_Norm_Norm,EDAD_35-39_anos_Norm_Norm,EDAD_40-44_anos_Norm_Norm,EDAD_45-49_anos_Norm_Norm,EDAD_50-54_anos_Norm_Norm,EDAD_55-59_anos_Norm_Norm,EDAD_60-64_anos_Norm_Norm,EDAD_65-69_anos_Norm_Norm,EDAD_70-74_anos_Norm_Norm,EDAD_75-79_anos_Norm_Norm,EDAD_80-84_anos_Norm_Norm,EDAD_85_anos_y_mas_Norm_Norm,ED_Ninguno,ED_Preescolar,ED_Primaria_Completa,ED_Primaria_Incompleta,ED_Secundaria_Completa,ED_Secundaria_Incompleta,ED_Media_Completa,ED_Media_Incompleta,ED_Normal_Completa,ED_Normal_Incompleta,ED_Tecnico,ED_Tecnologico,ED_Universitario,ED_Postgrado,ED_SININF,ED_Ninguno_Norm,ED_Preescolar_Norm,ED_Primaria_Completa_Norm,ED_Primaria_Incompleta_Norm,ED_Secundaria_Completa_Norm,ED_Secundaria_Incompleta_Norm,ED_Media_Completa_Norm,ED_Media_Incompleta_Norm,ED_Normal_Completa_Norm,ED_Normal_Incompleta_Norm,ED_Tecnico_Norm,ED_Tecnologico_Norm,ED_Universitario_Norm,ED_Postgrado_Norm,ED_SININF_Norm,ET_Indigena,ET_Gitano,ET_Raizal,ET_Palenquero,ET_Negro,ET_NOETNIA,ET_SININF,ET_Indigena_Norm,ET_Gitano_Norm,ET_Raizal_Norm,ET_Palenquero_Norm,ET_Negro_Norm,ET_NOETNIA_Norm,ET_SININF_Norm,Total_x,EST_Union_libre_x,EST_Casado_x,EST_Divorciado_x,EST_Separado_de_union_libre_x,EST_Separado_de_matrimonio_x,EST_Viudo_x,EST_Soltero_x,EST_SININF_x,EST_Union_libre_Norm_x,EST_Casado_Norm_x,EST_Divorciado_Norm_x,EST_Separado_de_union_libre_Norm_x,EST_Separado_de_matrimonio_Norm_x,EST_Viudo_Norm_x,EST_Soltero_Norm_x,EST_SININF_Norm_x,Total_y,EST_Union_libre_y,EST_Casado_y,EST_Divorciado_y,EST_Separado_de_union_libre_y,EST_Separado_de_matrimonio_y,EST_Viudo_y,EST_Soltero_y,EST_SININF_y,EST_Union_libre_Norm_y,EST_Casado_Norm_y,EST_Divorciado_Norm_y,EST_Separado_de_union_libre_Norm_y,EST_Separado_de_matrimonio_Norm_y,EST_Viudo_Norm_y,EST_Soltero_Norm_y,EST_SININF_Norm_y,SAN_Inodoro-alcantarillado,SAN_Inodoro-pozo_septico,SAN_Inodoro_sin_conexion,SAN_Letrina,SAN_Inodoro-fuentes_de_agua,SAN_Sin_servicio_sanitario,SAN_SININF,SAN_Inodoro-alcantarillado_Norm,SAN_Inodoro-pozo_septico_Norm,SAN_Inodoro_sin_conexion_Norm,SAN_Letrina_Norm,SAN_Inodoro-fuentes_de_agua_Norm,SAN_Sin_servicio_sanitario_Norm,SAN_SININF_Norm,SER_Energia_electrica_Si,SER_Energia_electrica_No,SER_Acueducto_Si,SER_Acueducto_No,SER_Alcantarillado_Si,SER_Alcantarillado_No,SER_Gas_natural_Si,SER_Gas_natural_No,SER_Gas_natural_Sin_informacion,SER_Basuras_Si,SER_Basuras_No,SER_Internet_Si,SER_Internet_No,SER_Internet_Sin_informacion,SER_Energia_electrica_Si_Norm,SER_Energia_electrica_No_Norm,SER_Acueducto_Si_Norm,SER_Acueducto_No_Norm,SER_Alcantarillado_Si_Norm,SER_Alcantarillado_No_Norm,SER_Gas_natural_Si_Norm,SER_Gas_natural_No_Norm,SER_Gas_natural_Sin_informacion_Norm,SER_Basuras_Si_Norm,SER_Basuras_No_Norm,SER_Internet_Si_Norm,SER_Internet_No_Norm,SER_Internet_Sin_informacion_Norm,SX_Hombre,SX_Mujer,SX_Hombre_Norm,SX_Mujer_Norm,Pareja_joven_sin_hijos,Etapa_inicial,Etapa_de_expansion_,Etapa_de_consolidacion_,Etapa_de_salida_,Pareja_mayor_sin_hijos,Pareja_joven_sin_hijos_Norm,Etapa_inicial_Norm,Etapa_de_expansion__Norm,Etapa_de_consolidacion__Norm,Etapa_de_salida__Norm,Pareja_mayor_sin_hijos_Norm
9,CASANARE,85,46,153143,8604,3647,11886,24137,0.056182783,0.023814343,0.077613734,0.15761086,43,5,PARTIDO CENTRO DEMOCRÁTICO: 0.268,PARTIDO ALIANZA VERDE: 0.266,PARTIDO LIBERAL COLOMBIANO: 0.192,PARTIDO CAMBIO RADICAL: 0.175,PARTIDO DE LA U: 0.029,258484,13502,2771,0.9408,0.0491,0.0101,31081.0,33495.0,35295.0,35025.0,34224.0,32564.0,30986.0,28760.0,25177.0,22300.0,18889.0,14866.0,11242.0,7564.0,5403.0,3690.0,2367.0,1700.0,0.083,0.089,0.094,0.093,0.091,0.087,0.083,0.077,0.067,0.06,0.05,0.04,0.03,0.02,0.014,0.01,0.006,0.005,14502.0,9344.0,49490.0,70296.0,15545.0,49021.0,70217.0,10533.0,230.0,828.0,14559.0,5615.0,25899.0,6900.0,3.0,0.042,0.027,0.144,0.205,0.045,0.143,0.205,0.031,0.001,0.002,0.042,0.016,0.076,0.02,0.0,6429.0,11.0,28.0,13.0,5977.0,358837.0,3333.0,0.0172,0.0,0.0001,0.0,0.016,0.9578,0.0089,314966,97528,54830,1528,16346,5776,9741,123626,5591,0.31,0.174,0.005,0.052,0.018,0.031,0.393,0.018,314966,97528,54830,1528,16346,5776,9741,123626,5591,0.31,0.174,0.005,0.052,0.018,0.031,0.393,0.018,86128,28680,640,363,198,3079,1091,0.717,0.239,0.005,0.003,0.002,0.026,0.009,112348,7831,95984,24195,87851,32328,90065,29004,1110,94829,25350,30308,88743,1128,0.935,0.065,0.799,0.201,0.731,0.269,0.749,0.241,0.009,0.789,0.211,0.252,0.738,0.009,192020,187872,0.505,0.495,5543.0,12819.0,19633.0,30987.0,16230.0,9573.0,0.058,0.135,0.207,0.327,0.171,0.101
10,CAUCA,19,11,443726,30392,24957,43814,99163,0.068492718,0.056244169,0.098741115,0.223478002,43,10,PARTIDO LIBERAL COLOMBIANO: 0.279,PARTIDO DE LA U: 0.229,PARTIDO CONSERVADOR COLOMBIANO: 0.086,PARTIDO CENTRO DEMOCRÁTICO: 0.079,PARTIDO POLITICO MIRA: 0.061,851076,69459,8220,0.9164,0.0748,0.0089,95758.0,102697.0,108324.0,114570.0,114253.0,101715.0,93193.0,89832.0,73648.0,67032.0,62801.0,55934.0,45588.0,36164.0,27289.0,21002.0,13917.0,11817.0,0.078,0.083,0.088,0.093,0.092,0.082,0.075,0.073,0.06,0.054,0.051,0.045,0.037,0.029,0.022,0.017,0.011,0.01,56673.0,26564.0,155431.0,297587.0,45009.0,146920.0,219492.0,32197.0,1799.0,3599.0,42413.0,18459.0,65455.0,18944.0,17057.0,0.049,0.023,0.135,0.259,0.039,0.128,0.191,0.028,0.002,0.003,0.037,0.016,0.057,0.017,0.015,307692.0,38.0,92.0,86.0,244525.0,672189.0,10912.0,0.249,0.0,0.0001,0.0001,0.1979,0.544,0.0088,1044722,311898,176316,3973,39561,14066,39403,446380,13125,0.299,0.169,0.004,0.038,0.013,0.038,0.427,0.013,1044722,311898,176316,3973,39561,14066,39403,446380,13125,0.299,0.169,0.004,0.038,0.013,0.038,0.427,0.013,158093,143995,6698,19568,8834,28187,2418,0.43,0.392,0.018,0.053,0.024,0.077,0.007,336910,30883,239233,128560,163290,204503,101100,264114,2579,163693,204100,57774,307230,2789,0.916,0.084,0.65,0.35,0.444,0.556,0.275,0.718,0.007,0.445,0.555,0.157,0.835,0.008,615833,627670,0.495,0.505,12126.0,43663.0,59641.0,95208.0,75465.0,36363.0,0.038,0.135,0.185,0.295,0.234,0.113
11,CESAR,20,12,390637,13994,11593,34413,60000,0.03582354,0.029677168,0.088094574,0.153595282,46,7,PARTIDO DE LA U: 0.288,PARTIDO CONSERVADOR COLOMBIANO: 0.248,PARTIDO CAMBIO RADICAL: 0.157,PARTIDO LIBERAL COLOMBIANO: 0.111,PARTIDO CENTRO DEMOCRÁTICO: 0.098,695243,66342,6637,0.905,0.0864,0.0086,103123.0,110826.0,111412.0,107802.0,96664.0,90261.0,79921.0,74385.0,63932.0,58393.0,51602.0,42253.0,32339.0,25810.0,17643.0,12449.0,8036.0,6732.0,0.094,0.101,0.102,0.099,0.088,0.083,0.073,0.068,0.058,0.053,0.047,0.039,0.03,0.024,0.016,0.011,0.007,0.006,72536.0,31214.0,110511.0,193250.0,37508.0,136125.0,199106.0,31325.0,1197.0,3178.0,61116.0,16562.0,73727.0,14177.0,13869.0,0.073,0.031,0.111,0.194,0.038,0.137,0.2,0.031,0.001,0.003,0.061,0.017,0.074,0.014,0.014,50975.0,20.0,121.0,75.0,142149.0,890104.0,10139.0,0.0466,0.0,0.0001,0.0001,0.13,0.8139,0.0093,884545,301625,125473,2558,75507,10898,29371,329220,9893,0.341,0.142,0.003,0.085,0.012,0.033,0.372,0.011,884545,301625,125473,2558,75507,10898,29371,329220,9893,0.341,0.142,0.003,0.085,0.012,0.033,0.372,0.011,214993,52810,2521,723,1987,21580,1921,0.725,0.178,0.009,0.002,0.007,0.073,0.006,279957,16578,250721,45814,219074,77461,192045,102382,2108,228850,67685,76308,218026,2201,0.944,0.056,0.846,0.154,0.739,0.261,0.648,0.345,0.007,0.772,0.228,0.257,0.735,0.007,543838,554739,0.495,0.505,12837.0,36204.0,50498.0,82513.0,53261.0,22516.0,0.05,0.14,0.196,0.32,0.207,0.087
12,CHOCO,27,17,151742,3538,5040,14974,23552,0.023315891,0.033214272,0.098680655,0.155210818,40,5,PARTIDO LIBERAL COLOMBIANO: 0.345,PARTIDO DE LA U: 0.322,PARTIDO CAMBIO RADICAL: 0.200,C.C. ANCESTRAL DE COMUNIDADES NEGRAS PLAYA RENACIENTE: 0.052,PARTIDO POLITICO MIRA: 0.024,244607,42607,10823,0.8207,0.143,0.0363,50784.0,53350.0,52188.0,45094.0,39074.0,37390.0,33101.0,27502.0,23173.0,20104.0,17681.0,16457.0,12511.0,8989.0,5678.0,5029.0,3522.0,2732.0,0.112,0.117,0.115,0.099,0.086,0.082,0.073,0.061,0.051,0.044,0.039,0.036,0.028,0.02,0.012,0.011,0.008,0.006,35183.0,11653.0,35348.0,100949.0,14854.0,56201.0,56316.0,12120.0,1365.0,1729.0,11404.0,2941.0,28104.0,5869.0,32571.0,0.087,0.029,0.087,0.248,0.037,0.138,0.139,0.03,0.003,0.004,0.028,0.007,0.069,0.014,0.08,68366.0,36.0,130.0,124.0,337160.0,20866.0,27677.0,0.1505,0.0001,0.0003,0.0003,0.7421,0.0459,0.0609,353237,132562,25289,790,16052,1766,7941,143043,25794,0.375,0.072,0.002,0.045,0.005,0.022,0.405,0.073,353237,132562,25289,790,16052,1766,7941,143043,25794,0.375,0.072,0.002,0.045,0.005,0.022,0.405,0.073,22720,32040,6671,929,20952,39403,5410,0.177,0.25,0.052,0.007,0.164,0.308,0.042,97143,30982,36562,91563,26082,102043,2970,120297,4858,62208,65917,17058,104918,6149,0.758,0.242,0.285,0.715,0.204,0.796,0.023,0.939,0.038,0.486,0.514,0.133,0.819,0.048,225982,231430,0.494,0.506,5480.0,13721.0,21573.0,32565.0,15803.0,8703.0,0.056,0.14,0.22,0.333,0.162,0.089
13,CORDOBA,23,13,718768,28289,40997,48567,117853,0.039357623,0.057037876,0.067569786,0.163965285,43,5,PARTIDO DE LA U: 0.452,PARTIDO LIBERAL COLOMBIANO: 0.213,PARTIDO CONSERVADOR COLOMBIANO: 0.169,PARTIDO CENTRO DEMOCRÁTICO: 0.091,COALICION COLOMBIA: 0.020,993178,129909,7969,0.8781,0.1149,0.007,124297.0,141365.0,155355.0,149744.0,131569.0,117108.0,105944.0,103037.0,92130.0,89290.0,83460.0,71367.0,57000.0,42150.0,33587.0,24359.0,16595.0,13716.0,0.08,0.091,0.1,0.096,0.085,0.075,0.068,0.066,0.059,0.058,0.054,0.046,0.037,0.027,0.022,0.016,0.011,0.009,129392.0,37749.0,174845.0,280698.0,58670.0,201188.0,274106.0,47729.0,1666.0,3167.0,75723.0,20004.0,93962.0,18724.0,13610.0,0.09,0.026,0.122,0.196,0.041,0.141,0.192,0.033,0.001,0.002,0.053,0.014,0.066,0.013,0.01,202606.0,142.0,167.0,77.0,102237.0,1237579.0,9265.0,0.1305,0.0001,0.0001,0.0,0.0659,0.7974,0.006,1289815,464244,178798,3134,81254,12672,47638,492427,9648,0.36,0.139,0.002,0.063,0.01,0.037,0.382,0.007,1289815,464244,178798,3134,81254,12672,47638,492427,9648,0.36,0.139,0.002,0.063,0.01,0.037,0.382,0.007,164103,172299,5519,12935,3698,51286,2039,0.398,0.418,0.013,0.031,0.009,0.125,0.005,395853,16026,280367,131512,171842,240037,194127,215661,2091,217204,194675,72344,337380,2155,0.961,0.039,0.681,0.319,0.417,0.583,0.471,0.524,0.005,0.527,0.473,0.176,0.819,0.005,774448,781148,0.498,0.502,18715.0,49186.0,66380.0,111985.0,90653.0,47612.0,0.049,0.128,0.173,0.291,0.236,0.124
14,CUNDINAMARCA,25,15,932378,107573,25806,123041,256420,0.11537488,0.027677616,0.131964718,0.275017214,45,9,PARTIDO CAMBIO RADICAL: 0.209,PARTIDO CENTRO DEMOCRÁTICO: 0.183,PARTIDO DE LA U: 0.127,PARTIDO CONSERVADOR COLOMBIANO: 0.115,PARTIDO LIBERAL COLOMBIANO: 0.108,2066046,68083,21447,0.9585,0.0316,0.0099,183841.0,205749.0,223631.0,236546.0,241429.0,225633.0,212579.0,209071.0,178562.0,172491.0,166158.0,144830.0,115768.0,88110.0,63456.0,45940.0,30638.0,24365.0,0.066,0.074,0.081,0.085,0.087,0.081,0.077,0.076,0.064,0.062,0.06,0.052,0.042,0.032,0.023,0.017,0.011,0.009,74710.0,59855.0,360813.0,423910.0,111402.0,315749.0,601734.0,69890.0,2330.0,8077.0,158170.0,69234.0,255370.0,57050.0,40494.0,0.029,0.023,0.138,0.162,0.043,0.121,0.231,0.027,0.001,0.003,0.061,0.027,0.098,0.022,0.016,9897.0,95.0,146.0,59.0,12757.0,2718390.0,27453.0,0.0036,0.0,0.0001,0.0,0.0046,0.9818,0.0099,2402599,635732,514870,14003,89415,53198,91777,973709,29895,0.265,0.214,0.006,0.037,0.022,0.038,0.405,0.012,2402599,635732,514870,14003,89415,53198,91777,973709,29895,0.265,0.214,0.006,0.037,0.022,0.038,0.405,0.012,678622,191329,9278,863,5325,7902,6421,0.754,0.213,0.01,0.001,0.006,0.009,0.007,885722,14018,807017,92723,690966,208774,624544,268719,6477,739380,160360,377456,515669,6615,0.984,0.016,0.897,0.103,0.768,0.232,0.694,0.299,0.007,0.822,0.178,0.42,0.573,0.007,1379858,1413019,0.494,0.506,36620.0,75449.0,125286.0,209200.0,182046.0,91753.0,0.051,0.105,0.174,0.29,0.253,0.127
15,GUAINIA,94,50,16062,277,292,680,1249,0.017245673,0.018179554,0.042335948,0.077761175,30,5,PARTIDO CAMBIO RADICAL: 0.260,PARTIDO DE LA U: 0.253,PARTIDO CENTRO DEMOCRÁTICO: 0.237,PARTIDO ALIANZA SOCIAL INDEPENDIENTE: 0.129,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS: 0.047,21902,2253,562,0.8861,0.0912,0.0227,4269.0,4521.0,4075.0,4027.0,3754.0,3068.0,2627.0,2412.0,2015.0,1764.0,1492.0,1253.0,738.0,587.0,448.0,291.0,128.0,113.0,0.114,0.12,0.108,0.107,0.1,0.082,0.07,0.064,0.054,0.047,0.04,0.033,0.02,0.016,0.012,0.008,0.003,0.003,2545.0,2179.0,4775.0,13122.0,1495.0,6706.0,3046.0,1010.0,33.0,79.0,1064.0,634.0,1121.0,461.0,44.0,0.066,0.057,0.125,0.342,0.039,0.175,0.08,0.026,0.001,0.002,0.028,0.017,0.029,0.012,0.001,27780.0,5.0,5.0,4.0,442.0,8164.0,1182.0,0.7392,0.0001,0.0001,0.0001,0.0118,0.2172,0.0315,33269,10344,3974,64,985,161,710,11545,5486,0.311,0.119,0.002,0.03,0.005,0.021,0.347,0.165,33269,10344,3974,64,985,161,710,11545,5486,0.311,0.119,0.002,0.03,0.005,0.021,0.347,0.165,2372,3196,143,149,60,3250,194,0.253,0.341,0.015,0.016,0.006,0.347,0.021,5822,3542,2047,7317,2621,6743,0,9364,0,3615,5749,693,8442,229,0.622,0.378,0.219,0.781,0.28,0.72,0.0,1.0,0.0,0.386,0.614,0.074,0.902,0.024,23214,21217,0.522,0.478,486.0,1244.0,1720.0,3070.0,1122.0,494.0,0.06,0.153,0.211,0.377,0.138,0.061
16,GUAVIARE,95,54,31824,1506,769,2346,4621,0.047322775,0.024164153,0.073717949,0.145204877,35,3,PARTIDO LIBERAL COLOMBIANO: 0.406,PARTIDO CAMBIO RADICAL: 0.278,PARTIDO DE LA U: 0.235,NO INFO,NO INFO,44767,3190,662,0.9208,0.0656,0.0136,5220.0,6247.0,6941.0,6622.0,6042.0,5164.0,4889.0,4667.0,4493.0,4013.0,3710.0,3051.0,2189.0,1496.0,1009.0,657.0,360.0,257.0,0.078,0.093,0.104,0.099,0.09,0.077,0.073,0.07,0.067,0.06,0.055,0.046,0.033,0.022,0.015,0.01,0.005,0.004,3437.0,1563.0,8972.0,17666.0,3010.0,10271.0,9077.0,1893.0,98.0,283.0,2829.0,1353.0,2755.0,1116.0,5.0,0.053,0.024,0.139,0.275,0.047,0.16,0.141,0.029,0.002,0.004,0.044,0.021,0.043,0.017,0.0,6269.0,3.0,5.0,5.0,2895.0,56193.0,1657.0,0.0935,0.0,0.0001,0.0001,0.0432,0.8384,0.0247,60690,19383,7206,254,4077,792,1586,21457,5935,0.319,0.119,0.004,0.067,0.013,0.026,0.354,0.098,60690,19383,7206,254,4077,792,1586,21457,5935,0.319,0.119,0.004,0.067,0.013,0.026,0.354,0.098,9577,8202,259,104,284,3359,361,0.432,0.37,0.012,0.005,0.013,0.152,0.016,16455,5691,10029,12117,10255,11891,4150,17644,352,13943,8203,2809,18904,433,0.743,0.257,0.453,0.547,0.463,0.537,0.187,0.797,0.016,0.63,0.37,0.127,0.854,0.02,39080,34001,0.535,0.465,1004.0,1850.0,3254.0,5526.0,2602.0,1706.0,0.063,0.116,0.204,0.347,0.163,0.107
17,HUILA,41,19,411825,26544,14819,34899,76262,0.064454562,0.035983731,0.084742306,0.185180599,44,7,PARTIDO CONSERVADOR COLOMBIANO: 0.203,PARTIDO CAMBIO RADICAL: 0.173,PARTIDO CENTRO DEMOCRÁTICO: 0.146,PARTIDO LIBERAL COLOMBIANO: 0.143,PARTIDO DE LA U: 0.136,699925,41315,6671,0.9358,0.0552,0.0089,80363.0,83326.0,90254.0,94543.0,87657.0,79710.0,71739.0,69375.0,59947.0,57197.0,55125.0,48755.0,38650.0,29360.0,21333.0,15546.0,10476.0,8498.0,0.08,0.083,0.09,0.094,0.087,0.08,0.072,0.069,0.06,0.057,0.055,0.049,0.039,0.029,0.021,0.016,0.01,0.008,39808.0,24010.0,140681.0,211823.0,39903.0,126809.0,175448.0,23977.0,626.0,1950.0,29744.0,13970.0,68716.0,17970.0,13664.0,0.043,0.026,0.151,0.228,0.043,0.136,0.189,0.026,0.001,0.002,0.032,0.015,0.074,0.019,0.015,12120.0,35.0,43.0,29.0,4971.0,976255.0,8401.0,0.0121,0.0,0.0,0.0,0.005,0.9744,0.0084,845652,207408,207315,4068,26889,18374,33298,338344,9956,0.245,0.245,0.005,0.032,0.022,0.039,0.4,0.012,845652,207408,207315,4068,26889,18374,33298,338344,9956,0.245,0.245,0.005,0.032,0.022,0.039,0.4,0.012,202261,68851,10710,949,8585,7900,2395,0.671,0.228,0.036,0.003,0.028,0.026,0.008,288382,13269,256798,44853,207477,94174,200504,98726,2421,206020,95631,77438,221755,2458,0.956,0.044,0.851,0.149,0.688,0.312,0.665,0.327,0.008,0.683,0.317,0.257,0.735,0.008,503766,505782,0.499,0.501,10366.0,29688.0,45239.0,79947.0,58310.0,30564.0,0.041,0.117,0.178,0.315,0.229,0.12
18,LA GUAJIRA,44,48,267306,6817,10731,26782,44330,0.025502607,0.040145002,0.100192289,0.165839899,42,7,PARTIDO DE LA U: 0.336,PARTIDO CONSERVADOR COLOMBIANO: 0.274,PARTIDO LIBERAL COLOMBIANO: 0.213,PARTIDO CAMBIO RADICAL: 0.052,MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA: 0.024,437314,90344,6418,0.8188,0.1692,0.012,97441.0,98212.0,88651.0,84429.0,76450.0,66041.0,58548.0,51999.0,41615.0,35827.0,31171.0,27571.0,19344.0,14875.0,10017.0,7348.0,4336.0,4505.0,0.119,0.12,0.108,0.103,0.093,0.081,0.072,0.064,0.051,0.044,0.038,0.034,0.024,0.018,0.012,0.009,0.005,0.006,101501.0,25434.0,69393.0,170930.0,24930.0,102730.0,108273.0,19751.0,1017.0,1794.0,29350.0,8813.0,45254.0,6559.0,12171.0,0.139,0.035,0.095,0.235,0.034,0.141,0.149,0.027,0.001,0.002,0.04,0.012,0.062,0.009,0.017,389883.0,29.0,108.0,111.0,60246.0,358937.0,9066.0,0.4764,0.0,0.0001,0.0001,0.0736,0.4386,0.0111,629082,238804,48929,1422,40467,4030,13983,266902,14545,0.38,0.078,0.002,0.064,0.006,0.022,0.424,0.023,629082,238804,48929,1422,40467,4030,13983,266902,14545,0.38,0.078,0.002,0.064,0.006,0.022,0.424,0.023,87353,34363,2832,1387,857,86949,1126,0.407,0.16,0.013,0.006,0.004,0.405,0.005,130335,84532,100043,114824,89975,124892,86305,127499,1063,99152,115715,23171,190543,1153,0.607,0.393,0.466,0.534,0.419,0.581,0.402,0.593,0.005,0.461,0.539,0.108,0.887,0.005,404215,421149,0.49,0.51,8618.0,32680.0,39573.0,60496.0,31831.0,9983.0,0.047,0.178,0.216,0.33,0.174,0.054
19,MAGDALENA,47,21,507598,13176,12478,42562,68216,0.025957549,0.024582445,0.083849818,0.134389812,44,6,PARTIDO CAMBIO RADICAL: 0.259,PARTIDO LIBERAL COLOMBIANO: 0.181,PARTIDO OPCIÓN CIUDADANA: 0.138,PARTIDO DE LA U: 0.133,PARTIDO CONSERVADOR COLOMBIANO: 0.098,809810,81391,6968,0.9016,0.0906,0.0078,111842.0,122990.0,127541.0,126187.0,108796.0,97164.0,87525.0,82931.0,73637.0,68783.0,63350.0,54039.0,42497.0,33573.0,22809.0,16670.0,10676.0,9532.0,0.089,0.098,0.101,0.1,0.086,0.077,0.069,0.066,0.058,0.055,0.05,0.043,0.034,0.027,0.018,0.013,0.008,0.008,82711.0,32887.0,124770.0,226095.0,48566.0,175020.0,232160.0,39958.0,1412.0,2233.0,65621.0,15051.0,76740.0,14655.0,14016.0,0.072,0.029,0.108,0.196,0.042,0.152,0.202,0.035,0.001,0.002,0.057,0.013,0.067,0.013,0.012,20536.0,39.0,93.0,80.0,106114.0,1124721.0,8959.0,0.0163,0.0,0.0001,0.0001,0.0842,0.8923,0.0071,1028746,357968,153295,2861,67139,12008,36050,389765,9660,0.348,0.149,0.003,0.065,0.012,0.035,0.379,0.009,1028746,357968,153295,2861,67139,12008,36050,389765,9660,0.348,0.149,0.003,0.065,0.012,0.035,0.379,0.009,164026,113046,3268,3756,2040,31141,2029,0.514,0.354,0.01,0.012,0.006,0.098,0.006,300043,19263,230955,88351,167990,151316,206326,111040,1940,223958,95348,79508,237765,2033,0.94,0.06,0.723,0.277,0.526,0.474,0.646,0.348,0.006,0.701,0.299,0.249,0.745,0.006,632502,631286,0.5,0.5,13034.0,35440.0,50976.0,92275.0,68600.0,28349.0,0.045,0.123,0.177,0.32,0.238,0.098
20,META,50,52,370039,40246,13073,43294,96613,0.108761509,0.035328709,0.116998479,0.261088696,43,7,PARTIDO CENTRO DEMOCRÁTICO: 0.291,PARTIDO LIBERAL COLOMBIANO: 0.222,PARTIDO CAMBIO RADICAL: 0.186,PARTIDO DE LA U: 0.109,COALICION COLOMBIA: 0.058,634261,28142,13311,0.9387,0.0416,0.0197,68417.0,75443.0,81646.0,81267.0,79387.0,75059.0,69469.0,67061.0,57586.0,53712.0,50681.0,42891.0,32514.0,23933.0,17013.0,11976.0,7443.0,5722.0,0.076,0.084,0.091,0.09,0.088,0.083,0.077,0.074,0.064,0.06,0.056,0.048,0.036,0.027,0.019,0.013,0.008,0.006,33678.0,19628.0,110860.0,158589.0,33877.0,115319.0,177838.0,23358.0,887.0,2400.0,45674.0,14664.0,73946.0,17737.0,21983.0,0.04,0.023,0.13,0.186,0.04,0.136,0.209,0.027,0.001,0.003,0.054,0.017,0.087,0.021,0.026,20024.0,32.0,94.0,30.0,8460.0,855796.0,16784.0,0.0222,0.0,0.0001,0.0,0.0094,0.9496,0.0186,774477,236411,131099,4011,39483,14707,27935,298564,22267,0.305,0.169,0.005,0.051,0.019,0.036,0.386,0.029,774477,236411,131099,4011,39483,14707,27935,298564,22267,0.305,0.169,0.005,0.051,0.019,0.036,0.386,0.029,221496,50680,1205,453,2350,9397,3179,0.767,0.176,0.004,0.002,0.008,0.033,0.011,266456,22304,228211,60549,226219,62541,191182,94374,3204,240108,48652,97245,188198,3317,0.923,0.077,0.79,0.21,0.783,0.217,0.662,0.327,0.011,0.832,0.168,0.337,0.652,0.011,464906,454223,0.506,0.494,12786.0,26301.0,41878.0,69977.0,48744.0,25599.0,0.057,0.117,0.186,0.311,0.216,0.114
