,Departamento,DPTO_CCDGO,Codigo_Departamento,Total_votos,votos_en_blanco,votos_no_marcados,votos_nulos,Total_votos_No_Validos,votos_en_blanco_Norm,votos_no_marcados_Norm,votos_nulos_Norm,Total_votos_No_Validos_Norm,Total_Partidos,Total_Partidos_95,Partido_1,Partido_2,Partido_3,Partido_4,Partido_5,Ninguno,Preescolar,Primaria Completa,Primaria Incompleta,Secundaria Completa,Secundaria Incompleta,Media Completa,Media Incompleta,Normal Completa,Normal Incompleta,Tecnico,Tecnologico,Universitario,Especializacion_Maestria_Doctorado,Sin Informacion Educacion,Ninguno_Norm,Preescolar_Norm,Primaria Completa_Norm,Primaria Incompleta_Norm,Secundaria Completa_Norm,Secundaria Incompleta_Norm,Media Completa_Norm,Media Incompleta_Norm,Normal Completa_Norm,Normal Incompleta_Norm,Tecnico_Norm,Tecnologico_Norm,Universitario_Norm,Especializacion_Maestria_Doctorado_Norm,Sin Informacion Educacion_Norm,Indigena,Gitano(a) o Rrom,"Raizal del Archipielago de San Andres, Providencia y Santa Catalina",Palenquero(a) de San Basilio,"Negro(a), Mulato(a), Afrodescendiente, Afrocolombiano(a)",Ningun grupo etnico,Sin informacion Etnia,Indigena_Norm,Gitano(a) o Rrom_Norm,"Raizal del Archipielago de San Andres, Providencia y Santa Catalina_Norm",Palenquero(a) de San Basilio_Norm,"Negro(a), Mulato(a), Afrodescendiente, Afrocolombiano(a)_Norm",Ningun grupo etnico_Norm,Sin informacion Etnia_Norm,Sabe_Leer,No_Sabe_Leer,Sabe_Leer_Norm,No_Sabe_Leer_Norm,Union libre,Casado(a),Divorciado(a),Separado(a) de union libre,Separado(a) de matrimonio,Viudo(a),Soltero(a),No informa,Union libre_Norm,Casado(a)_Norm,Divorciado(a)_Norm,Separado(a) de union libre_Norm,Separado(a) de matrimonio_Norm,Viudo(a)_Norm,Soltero(a)_Norm,No informa_Norm,Inodoro conectado al alcantarillado*,Inodoro conectado a pozo septico,Inodoro sin conexion,Letrina,Inodoro con descarga directa a fuentes de agua (bajamar),No tiene servicio sanitario,Sin informacion,Inodoro conectado al alcantarillado*_Norm,Inodoro conectado a pozo septico_Norm,Inodoro sin conexion_Norm,Letrina_Norm,Inodoro con descarga directa a fuentes de agua (bajamar)_Norm,No tiene servicio sanitario_Norm,Sin informacion_Norm,Energia electrica_Si,Energia electrica_No,Acueducto_Si,Acueducto_No,Alcantarillado_Si,Alcantarillado_No,Gas natural conectado a red publica_Si,Gas natural conectado a red publica_No,Gas natural conectado a red publica_Sin informacion,Recoleccion de basuras _Si,Recoleccion de basuras _No,Internet_Si,Internet_No,Internet_Sin informacion,Energia electrica_Si_Norm,Energia electrica_No_Norm,Acueducto_Si_Norm,Acueducto_No_Norm,Alcantarillado_Si_Norm,Alcantarillado_No_Norm,Gas natural conectado a red publica_Si_Norm,Gas natural conectado a red publica_No_Norm,Gas natural conectado a red publica_Sin informacion_Norm,Recoleccion de basuras _Si_Norm,Recoleccion de basuras _No_Norm,Internet_Si_Norm,Internet_No_Norm,Internet_Sin informacion_Norm, Hogares con pareja joven sin hijos, Hogares con pareja joven sin hijos_Norm, Hogares en etapa inicial, Hogares en etapa inicial_Norm,Hogares en etapa de expansion ,Hogares en etapa de expansion _Norm,Hogares en etapa de consolidacion ,Hogares en etapa de consolidacion _Norm,Hogarese en etapa de salida ,Hogarese en etapa de salida _Norm,Hogares con pareja mayor sin hijos,Hogares con pareja mayor sin hijos_Norm
0,AMAZONAS,91,60.0,24107.0,763.0,496.0,1843.0,3102.0,0.0316505579292321,0.0205749367403658,0.0764508234122868,0.1286763180818849,41.0,5.0,PARTIDO CENTRO DEMOCRÁTICO: 0.307,PARTIDO DE LA U: 0.299,PARTIDO LIBERAL COLOMBIANO: 0.242,PARTIDO ALIANZA VERDE: 0.064,PARTIDO POLO DEMOCRÁTICO ALTERNATIVO: 0.027,2.037,1.664,6.912,12.327,2.901,10.776,10.029,2.685,333.0,351.0,2.41,701.0,2.007,723.0,3.127,"0,035","0,028","0,117","0,209","0,049","0,183","0,17","0,046","0,006","0,006","0,041","0,012","0,034","0,012","0,053",35.627,5,13.0,0.0,466.0,23.829,2.258,"0,573",0,0,0,"0,007","0,383","0,036",49.127,4.152,"0,891","0,075",16.759,5.506,148.0,1.831,337.0,1.263,20.297,5.137,"0,327","0,107","0,003","0,036","0,007","0,025","0,396","0,1",4.867,6.121,439.0,479.0,720.0,2.194,602.0,"0,316","0,397","0,028","0,031","0,047","0,142","0,039",11.954,3.468,5.962,9.46,5.241,10.181,298,14.605,519.0,7.759,7.663,788,13.972,662.0,"0,775","0,225","0,387","0,613","0,340","0,660","0,019","0,947","0,034","0,503","0,497","0,051","0,906","0,043",579.0,"0,045",1.771,"0,137",2.591,"0,2",5.057,"0,391",2.108,"0,163",840.0,"0,065"
1,ANTIOQUIA,5,1.0,2090665.0,138726.0,68124.0,204345.0,411195.0,0.0663549636120564,0.0325848474050122,0.0977416276639251,0.1966814386809938,47.0,8.0,PARTIDO CENTRO DEMOCRÁTICO: 0.331,PARTIDO LIBERAL COLOMBIANO: 0.159,PARTIDO CONSERVADOR COLOMBIANO: 0.152,PARTIDO CAMBIO RADICAL: 0.078,PARTIDO ALIANZA VERDE: 0.076,222.981,110.875,657.612,961.812,214.668,738.182,1.274.048,147.392,6.373,22.137,334.847,192.74,523.255,146.248,76.285,"0,04","0,02","0,117","0,171","0,038","0,131","0,226","0,026","0,001","0,004","0,059","0,034","0,093","0,026","0,014",37.398,140,572.0,183.0,310.688,5.527.564,54.947,"0,006",0,0,0,"0,052","0,932","0,009",5.225.883,303.558,"0,935","0,054",1.072.324,1.230.824,49.08,131.148,156.336,228.852,2.320.856,58.15,"0,204346774","0,23455123","0,0093529","0,024992139","0,029792075","0,043611043","0,442272519","0,01108132",1.563.592,197.767,43.731,4.295,77.098,34.531,12.569,"0,809","0,102","0,023","0,002","0,04","0,018","0,007",1.910.386,23.197,1.741.310,192.273,1.597.608,335.975,1.194.873,726.032,12.678,1.720.765,212.818,1.007.573,913.146,12.864,"0,988","0,012","0,901","0,099","0,826","0,174","0,618","0,375","0,007","0,890","0,110","0,521","0,472","0,007",93.562,"0,062",141.922,"0,095",218.681,"0,146",400.753,"0,267",486.46,"0,325",157.035,"0,105"
2,ARAUCA,81,40.0,90162.0,4681.0,3056.0,6453.0,14190.0,0.0519176593243273,0.0338945453738825,0.0715711718905969,0.1573833765888068,39.0,4.0,PARTIDO LIBERAL COLOMBIANO: 0.309,PARTIDO CENTRO DEMOCRÁTICO: 0.296,PARTIDO CAMBIO RADICAL: 0.277,COALICION ARAUCA PARA TODOS: 0.064,NO INFO,13.125,6.046,30.874,50.064,8.379,31.79,39.161,6.031,244.0,546.0,9.39,2.903,12.538,3.349,4.125,"0,06","0,028","0,141","0,229","0,038","0,145","0,179","0,028","0,001","0,002","0,043","0,013","0,057","0,015","0,019",6.229,4,51.0,13.0,9.963,218.633,1.853,"0,026",0,0,0,"0,042","0,923","0,008",197.155,16.621,"0,913","0,077",65.138,28.429,820.0,11.724,2.771,6.067,77.587,3.483,"0,332","0,145","0,004","0,06","0,014","0,031","0,396","0,018",39.648,23.932,636.0,464.0,210.0,5.509,595.0,"0,558","0,337","0,009","0,007","0,003","0,078","0,008",65.030,5.964,51.727,19.267,40.868,30.126,2.872,67.53,592.0,48.238,22.756,9.395,61.005,594.0,"0,916","0,084","0,729","0,271","0,576","0,424","0,040","0,951","0,008","0,679","0,321","0,132","0,859","0,008",3.3,"0,058",7.91,"0,138",11.678,"0,204",18.288,"0,32",10.8,"0,189",5.24,"0,092"
3,ATLANTICO,8,3.0,1125666.0,52513.0,34643.0,105417.0,192573.0,0.0466506050640243,0.0307755586470587,0.0936485600524489,0.171074723763532,46.0,7.0,PARTIDO CAMBIO RADICAL: 0.443,PARTIDO CONSERVADOR COLOMBIANO: 0.143,PARTIDO DE LA U: 0.123,PARTIDO LIBERAL COLOMBIANO: 0.112,PARTIDO CENTRO DEMOCRÁTICO: 0.083,69.822,54.508,215.995,292.32,89.111,264.309,554.614,69.678,2.575,6.205,174.756,47.435,250.552,43.076,27.396,"0,032","0,025","0,1","0,135","0,041","0,122","0,256","0,032","0,001","0,003","0,081","0,022","0,116","0,02","0,013",39.045,101,470.0,851.0,138.77,2.133.725,23.472,"0,017",0,0,0,"0,059","0,913","0,01",2.039.121,94.952,"0,945","0,044",540.412,443.779,10.687,101.061,41.118,74.039,743.110,21.408,"0,273541289","0,224628394","0,005409458","0,051154223","0,02081277","0,03747645","0,376141291","0,010836125",503.712,74.413,1.982,1.397,2.026,11.123,3.526,"0,842","0,124","0,003","0,002","0,003","0,019","0,006",591.697,6.482,576.711,21.468,511.207,86.972,535.085,59.552,3.542,565.186,32.993,274.001,320.552,3.626,"0,989","0,011","0,964","0,036","0,855","0,145","0,895","0,100","0,006","0,945","0,055","0,458","0,536","0,006",24.163,"0,045",57.87,"0,109",84.06,"0,158",151.306,"0,284",168.55,"0,317",46.253,"0,087"
4,BOGOTA D.C.,11,16.0,2799770.0,286407.0,48728.0,247965.0,583100.0,0.1022966172221289,0.0174042867806998,0.0885662036524428,0.2082671076552716,47.0,9.0,PARTIDO CENTRO DEMOCRÁTICO: 0.213,PARTIDO ALIANZA VERDE: 0.195,"COALICION LISTA DE LA DECENCIA (ASI,UP,MAIS): 0.107",PARTIDO CAMBIO RADICAL: 0.098,PARTIDO LIBERAL COLOMBIANO: 0.076,111.39,140.735,633.749,669.227,249.88,650.85,1.590.176,163.159,5.257,22.797,499.767,240.571,1.213.555,416.43,161.781,"0,016","0,021","0,094","0,099","0,037","0,096","0,235","0,024","0,001","0,003","0,074","0,036","0,179","0,062","0,024",18.56,571,1.046,218.0,65.069,6.928.507,135.569,"0,003",0,0,0,"0,009","0,969","0,019",6.462.169,142.111,"0,959","0,021",1.427.676,1.371.179,73.982,247.438,164.822,226.242,2.686.010,123.98,"0,225850608","0,216913089","0,011703552","0,039143351","0,026073947","0,035790259","0,42491223","0,019612964",2.287.247,20.782,1.826,257.0,4.537,1.31,29.231,"0,975","0,009","0,001",0,"0,002","0,001","0,012",2.339.400,5.79,2.332.920,12.27,2.325.515,19.675,2.183.785,131.835,29.57,2.329.993,15.197,1.748.648,566.617,29.925,"0,998","0,002","0,995","0,005","0,992","0,008","0,931","0,056","0,013","0,994","0,006","0,746","0,242","0,013",128.079,"0,07",193.476,"0,105",280.997,"0,153",487.132,"0,264",578.681,"0,314",173.97,"0,094"
5,BOLIVAR,13,5.0,782184.0,30647.0,26854.0,73391.0,130892.0,0.0391813179507635,0.0343320753173166,0.0938283063831528,0.1673416996512329,43.0,6.0,PARTIDO CONSERVADOR COLOMBIANO: 0.275,PARTIDO CAMBIO RADICAL: 0.257,PARTIDO LIBERAL COLOMBIANO: 0.147,PARTIDO DE LA U: 0.118,PARTIDO CENTRO DEMOCRÁTICO: 0.087,107.699,45.59,195.487,316.262,72.579,251.746,375.463,57.561,1.95,5.643,106.725,41.444,127.634,23.473,18.865,"0,062","0,026","0,112","0,181","0,042","0,144","0,215","0,033","0,001","0,003","0,061","0,024","0,073","0,013","0,011",5.199,31,571.0,3.988,314.681,1.567.113,11.873,"0,003",0,0,"0,002","0,165","0,823","0,006",1.581.775,146.622,"0,908","0,084",529.991,256.049,4.882,111.829,21.126,52.78,581.952,14.498,"0,337","0,163","0,003","0,071","0,013","0,034","0,37","0,009",254.361,185.116,5.455,6.645,3.189,51.816,2.587,"0,5","0,364","0,011","0,013","0,006","0,102","0,005",482.243,26.926,400.728,108.441,259.262,249.907,355.014,151.53,2.625,362.286,146.883,134.641,371.856,2.672,"0,947","0,053","0,787","0,213","0,509","0,491","0,697","0,298","0,005","0,712","0,288","0,264","0,730","0,005",20.45,"0,045",55.642,"0,124",77.923,"0,173",132.261,"0,294",116.787,"0,259",47.328,"0,105"
6,BOYACA,15,7.0,493175.0,43457.0,11982.0,44196.0,99635.0,0.088116794241395,0.0242956354235312,0.089615248137071,0.2020276778019972,45.0,7.0,PARTIDO ALIANZA VERDE: 0.197,PARTIDO LIBERAL COLOMBIANO: 0.157,PARTIDO CAMBIO RADICAL: 0.152,PARTIDO CENTRO DEMOCRÁTICO: 0.134,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS: 0.109,49.528,23.222,155.874,223.755,45.279,124.475,196.177,29.077,976.0,3.299,42.356,22.887,94.742,34.895,16.598,"0,047","0,022","0,147","0,21","0,043","0,117","0,185","0,027","0,001","0,003","0,04","0,022","0,089","0,033","0,016",6.877,17,62.0,16.0,3.88,1.103.278,10.36,"0,006",0,0,0,"0,003","0,981","0,009",975.320,64.875,"0,927","0,062",190.098,269.600,6.884,22.413,22.402,49.956,405.521,11.852,"0,194","0,275","0,007","0,023","0,023","0,051","0,414","0,012",226.936,101.767,17.279,1.377,3.826,14.449,3.477,"0,615","0,276","0,047","0,004","0,01","0,039","0,009",358.502,10.609,315.674,53.437,233.357,135.754,191.122,174.513,3.476,236.721,132.39,90.750,274.84,3.521,"0,971","0,029","0,855","0,145","0,632","0,368","0,518","0,473","0,009","0,641","0,359","0,246","0,745","0,010",9.099,"0,032",25.496,"0,089",46.561,"0,163",87.248,"0,305",75.192,"0,263",42.074,"0,147"
7,CALDAS,17,9.0,409721.0,31734.0,13560.0,44016.0,89310.0,0.0774527056216303,0.0330956919464708,0.1074292018227037,0.2179775993908049,46.0,9.0,PARTIDO LIBERAL COLOMBIANO: 0.205,PARTIDO DE LA U: 0.184,PARTIDO CENTRO DEMOCRÁTICO: 0.171,PARTIDO CAMBIO RADICAL: 0.106,PARTIDO CONSERVADOR COLOMBIANO: 0.105,36.039,15.674,113.818,175.709,33.476,114.017,184.452,22.341,1.548,2.278,41.376,21.545,77.598,24.516,9.771,"0,041","0,018","0,13","0,201","0,038","0,13","0,211","0,026","0,002","0,003","0,047","0,025","0,089","0,028","0,011",55.632,37,107.0,30.0,14.447,837.707,6.824,"0,061",0,0,0,"0,016","0,916","0,007",808.053,50.686,"0,933","0,059",176.244,198.080,8.655,25.498,26.242,43.925,333.227,6.539,"0,215","0,242","0,011","0,031","0,032","0,054","0,407","0,008",241.415,40.454,5.671,1.535,10.747,2.768,1.919,"0,793","0,133","0,019","0,005","0,035","0,009","0,006",300.623,3.886,270.261,34.248,247.395,57.114,191.171,111.351,1.987,249.435,55.074,130.032,172.438,2.039,"0,987","0,013","0,888","0,112","0,812","0,188","0,628","0,366","0,007","0,819","0,181","0,427","0,566","0,007",11.55,"0,049",18.76,"0,08",31.035,"0,132",60.002,"0,256",79.212,"0,338",33.995,"0,145"
8,CAQUETA,18,44.0,114190.0,6063.0,3722.0,8881.0,18666.0,0.0530957176635432,0.0325947981434451,0.0777738856292144,0.1634644014362028,40.0,5.0,PARTIDO LIBERAL COLOMBIANO: 0.331,PARTIDO CENTRO DEMOCRÁTICO: 0.243,PARTIDO ALIANZA SOCIAL INDEPENDIENTE: 0.204,PARTIDO POLITICO MIRA: 0.114,PARTIDO SOMOS: 0.048,17.844,8.964,45.238,84.943,14.046,48.719,53.274,8.886,334.0,1.024,8.842,3.17,18.462,6.13,10.238,"0,054","0,027","0,137","0,257","0,043","0,148","0,161","0,027","0,001","0,003","0,027","0,01","0,056","0,019","0,031",8.402,20,30.0,14.0,4.947,324.063,10.866,"0,024",0,0,0,"0,014","0,93","0,031",286.854,27.048,"0,900","0,085",91.704,46.417,1.353,16.041,5.076,10.28,112.018,12.869,"0,31","0,157","0,005","0,054","0,017","0,035","0,379","0,044",70.401,26.162,1.95,515.0,2.905,6.749,1.843,"0,637","0,237","0,018","0,005","0,026","0,061","0,017",93.242,17.283,80.362,30.163,72.630,37.895,40.608,67.966,1.951,80.237,30.288,16.740,91.374,2.411,"0,844","0,156","0,727","0,273","0,657","0,343","0,367","0,615","0,018","0,726","0,274","0,151","0,827","0,022",4.816,"0,056",11.03,"0,129",17.512,"0,205",28.744,"0,336",14.419,"0,169",9.033,"0,106"
9,CASANARE,85,46.0,153143.0,8604.0,3647.0,11886.0,24137.0,0.0561827834115826,0.0238143434567691,0.0776137335692783,0.1576108604376302,43.0,5.0,PARTIDO CENTRO DEMOCRÁTICO: 0.268,PARTIDO ALIANZA VERDE: 0.266,PARTIDO LIBERAL COLOMBIANO: 0.192,PARTIDO CAMBIO RADICAL: 0.175,PARTIDO DE LA U: 0.029,14.502,9.344,49.49,70.296,15.545,49.021,70.217,10.533,230.0,828.0,14.559,5.615,25.899,6.9,5.762,"0,042","0,027","0,142","0,202","0,045","0,141","0,201","0,03","0,001","0,002","0,042","0,016","0,074","0,02","0,017",6.429,11,28.0,13.0,5.977,358.837,3.333,"0,017",0,0,0,"0,016","0,958","0,009",317.952,21.892,"0,925","0,064",97.528,54.830,1.528,16.346,5.776,9.741,123.626,5.591,"0,31","0,174","0,005","0,052","0,018","0,031","0,393","0,018",86.128,28.68,640.0,363.0,198.0,3.079,1.091,"0,717","0,239","0,005","0,003","0,002","0,026","0,009",112.348,7.831,95.984,24.195,87.851,32.328,90.065,29.004,1.11,94.829,25.35,30.308,88.743,1.128,"0,935","0,065","0,799","0,201","0,731","0,269","0,749","0,241","0,009","0,789","0,211","0,252","0,738","0,009",5.543,"0,058",12.819,"0,135",19.633,"0,207",30.987,"0,327",16.23,"0,171",9.573,"0,101"
10,CAUCA,19,11.0,443726.0,30392.0,24957.0,43814.0,99163.0,0.0684927184794219,0.0562441686987014,0.0987411150124175,0.223478002190541,43.0,10.0,PARTIDO LIBERAL COLOMBIANO: 0.279,PARTIDO DE LA U: 0.229,PARTIDO CONSERVADOR COLOMBIANO: 0.086,PARTIDO CENTRO DEMOCRÁTICO: 0.079,PARTIDO POLITICO MIRA: 0.061,56.673,26.564,155.431,297.587,45.009,146.92,219.492,32.197,1.799,3.599,42.413,18.459,65.455,18.944,17.057,"0,049","0,023","0,135","0,259","0,039","0,128","0,191","0,028","0,002","0,003","0,037","0,016","0,057","0,017","0,015",307.692,38,92.0,86.0,244.525,672.189,10.912,"0,249",0,0,0,"0,198","0,544","0,009",1.035.153,93.641,"0,908","0,082",311.898,176.316,3.973,39.561,14.066,39.403,446.380,13.125,"0,299","0,169","0,004","0,038","0,013","0,038","0,427","0,013",158.093,143.995,6.698,19.568,8.834,28.187,2.418,"0,43","0,392","0,018","0,053","0,024","0,077","0,007",336.910,30.883,239.233,128.56,163.290,204.503,101.100,264.114,2.579,163.693,204.1,57.774,307.23,2.789,"0,916","0,084","0,650","0,350","0,444","0,556","0,275","0,718","0,007","0,445","0,555","0,157","0,835","0,008",12.126,"0,038",43.663,"0,135",59.641,"0,185",95.208,"0,295",75.465,"0,234",36.363,"0,113"
11,CESAR,20,12.0,390637.0,13994.0,11593.0,34413.0,60000.0,0.0358235395008665,0.0296771683173892,0.0880945737346948,0.1535952815529506,46.0,7.0,PARTIDO DE LA U: 0.288,PARTIDO CONSERVADOR COLOMBIANO: 0.248,PARTIDO CAMBIO RADICAL: 0.157,PARTIDO LIBERAL COLOMBIANO: 0.111,PARTIDO CENTRO DEMOCRÁTICO: 0.098,72.536,31.214,110.511,193.25,37.508,136.125,199.106,31.325,1.197,3.178,61.116,16.562,73.727,14.177,13.869,"0,073","0,031","0,111","0,194","0,038","0,137","0,2","0,031","0,001","0,003","0,061","0,017","0,074","0,014","0,014",50.975,20,121.0,75.0,142.149,890.104,10.139,"0,047",0,0,0,"0,13","0,814","0,009",887.826,93.355,"0,896","0,094",301.625,125.473,2.558,75.507,10.898,29.371,329.220,9.893,"0,341","0,142","0,003","0,085","0,012","0,033","0,372","0,011",214.993,52.81,2.521,723.0,1.987,21.58,1.921,"0,725","0,178","0,009","0,002","0,007","0,073","0,006",279.957,16.578,250.721,45.814,219.074,77.461,192.045,102.382,2.108,228.850,67.685,76.308,218.026,2.201,"0,944","0,056","0,846","0,154","0,739","0,261","0,648","0,345","0,007","0,772","0,228","0,257","0,735","0,007",12.837,"0,05",36.204,"0,14",50.498,"0,196",82.513,"0,32",53.261,"0,207",22.516,"0,087"
12,CHOCO,27,17.0,151742.0,3538.0,5040.0,14974.0,23552.0,0.023315891447325,0.0332142715925716,0.0986806553228506,0.1552108183627473,40.0,5.0,PARTIDO LIBERAL COLOMBIANO: 0.345,PARTIDO DE LA U: 0.322,PARTIDO CAMBIO RADICAL: 0.200,C.C. ANCESTRAL DE COMUNIDADES NEGRAS PLAYA RENACIENTE: 0.052,PARTIDO POLITICO MIRA: 0.024,35.183,11.653,35.348,100.949,14.854,56.201,56.316,12.12,1.365,1.729,11.404,2.941,28.104,5.869,32.571,"0,087","0,029","0,087","0,248","0,037","0,138","0,139","0,03","0,003","0,004","0,028","0,007","0,069","0,014","0,08",68.366,36,130.0,124.0,337.16,20.866,27.677,"0,15",0,0,0,"0,742","0,046","0,061",326.465,60.971,"0,809","0,151",132.562,25.289,790.0,16.052,1.766,7.941,143.043,25.794,"0,375","0,072","0,002","0,045","0,005","0,022","0,405","0,073",22.720,32.04,6.671,929.0,20.952,39.403,5.41,"0,177","0,25","0,052","0,007","0,164","0,308","0,042",97.143,30.982,36.562,91.563,26.082,102.043,2.970,120.297,4.858,62.208,65.917,17.058,104.918,6.149,"0,758","0,242","0,285","0,715","0,204","0,796","0,023","0,939","0,038","0,486","0,514","0,133","0,819","0,048",5.48,"0,056",13.721,"0,14",21.573,"0,22",32.565,"0,333",15.803,"0,162",8.703,"0,089"
13,CORDOBA,23,13.0,718768.0,28289.0,40997.0,48567.0,117853.0,0.039357623043875,0.0570378759210204,0.0675697860784008,0.1639652850432963,43.0,5.0,PARTIDO DE LA U: 0.452,PARTIDO LIBERAL COLOMBIANO: 0.213,PARTIDO CONSERVADOR COLOMBIANO: 0.169,PARTIDO CENTRO DEMOCRÁTICO: 0.091,COALICION COLOMBIA: 0.020,129.392,37.749,174.845,280.698,58.67,201.188,274.106,47.729,1.666,3.167,75.723,20.004,93.962,18.724,13.61,"0,09","0,026","0,122","0,196","0,041","0,141","0,192","0,033","0,001","0,002","0,053","0,014","0,066","0,013","0,01",202.606,142,167.0,77.0,102.237,1.237.579,9.265,"0,131",0,0,0,"0,066","0,797","0,006",1.257.957,159.43,"0,881","0,112",464.244,178.798,3.134,81.254,12.672,47.638,492.427,9.648,"0,36","0,139","0,002","0,063","0,01","0,037","0,382","0,007",164.103,172.299,5.519,12.935,3.698,51.286,2.039,"0,398","0,418","0,013","0,031","0,009","0,125","0,005",395.853,16.026,280.367,131.512,171.842,240.037,194.127,215.661,2.091,217.204,194.675,72.344,337.38,2.155,"0,961","0,039","0,681","0,319","0,417","0,583","0,471","0,524","0,005","0,527","0,473","0,176","0,819","0,005",18.715,"0,049",49.186,"0,128",66.38,"0,173",111.985,"0,291",90.653,"0,236",47.612,"0,124"
