,Departamento,DPTO_CCDGO,Codigo_Departamento,Total_votos,votos_en_blanco,votos_no_marcados,votos_nulos,Total_votos_No_Validos,votos_en_blanco_Norm,votos_no_marcados_Norm,votos_nulos_Norm,Total_votos_No_Validos_Norm,Total_Partidos,Total_Partidos_95,Partido_1,Partido_2,Partido_3,Partido_4,Partido_5,Ninguno,Preescolar,Primaria Completa,Primaria Incompleta,Secundaria Completa,Secundaria Incompleta,Media Completa,Media Incompleta,Normal Completa,Normal Incompleta,Tecnico,Tecnologico,Universitario,Especializacion_Maestria_Doctorado,Sin Informacion Educacion,Ninguno_Norm,Preescolar_Norm,Primaria Completa_Norm,Primaria Incompleta_Norm,Secundaria Completa_Norm,Secundaria Incompleta_Norm,Media Completa_Norm,Media Incompleta_Norm,Normal Completa_Norm,Normal Incompleta_Norm,Tecnico_Norm,Tecnologico_Norm,Universitario_Norm,Especializacion_Maestria_Doctorado_Norm,Sin Informacion Educacion_Norm,Indigena,Gitano(a) o Rrom,"Raizal del Archipielago de San Andres, Providencia y Santa Catalina",Palenquero(a) de San Basilio,"Negro(a), Mulato(a), Afrodescendiente, Afrocolombiano(a)",Ningun grupo etnico,Sin informacion Etnia,Indigena_Norm,Gitano(a) o Rrom_Norm,"Raizal del Archipielago de San Andres, Providencia y Santa Catalina_Norm",Palenquero(a) de San Basilio_Norm,"Negro(a), Mulato(a), Afrodescendiente, Afrocolombiano(a)_Norm",Ningun grupo etnico_Norm,Sin informacion Etnia_Norm,Sabe_Leer,No_Sabe_Leer,Sabe_Leer_Norm,No_Sabe_Leer_Norm,Union libre,Casado(a),Divorciado(a),Separado(a) de union libre,Separado(a) de matrimonio,Viudo(a),Soltero(a),No informa,Union libre_Norm,Casado(a)_Norm,Divorciado(a)_Norm,Separado(a) de union libre_Norm,Separado(a) de matrimonio_Norm,Viudo(a)_Norm,Soltero(a)_Norm,No informa_Norm,Inodoro conectado al alcantarillado*,Inodoro conectado a pozo septico,Inodoro sin conexion,Letrina,Inodoro con descarga directa a fuentes de agua (bajamar),No tiene servicio sanitario,Sin informacion,Inodoro conectado al alcantarillado*_Norm,Inodoro conectado a pozo septico_Norm,Inodoro sin conexion_Norm,Letrina_Norm,Inodoro con descarga directa a fuentes de agua (bajamar)_Norm,No tiene servicio sanitario_Norm,Sin informacion_Norm,Energia electrica_Si,Energia electrica_No,Acueducto_Si,Acueducto_No,Alcantarillado_Si,Alcantarillado_No,Gas natural conectado a red publica_Si,Gas natural conectado a red publica_No,Gas natural conectado a red publica_Sin informacion,Recoleccion de basuras _Si,Recoleccion de basuras _No,Internet_Si,Internet_No,Internet_Sin informacion,Energia electrica_Si_Norm,Energia electrica_No_Norm,Acueducto_Si_Norm,Acueducto_No_Norm,Alcantarillado_Si_Norm,Alcantarillado_No_Norm,Gas natural conectado a red publica_Si_Norm,Gas natural conectado a red publica_No_Norm,Gas natural conectado a red publica_Sin informacion_Norm,Recoleccion de basuras _Si_Norm,Recoleccion de basuras _No_Norm,Internet_Si_Norm,Internet_No_Norm,Internet_Sin informacion_Norm, Hogares con pareja joven sin hijos, Hogares con pareja joven sin hijos_Norm, Hogares en etapa inicial, Hogares en etapa inicial_Norm,Hogares en etapa de expansion ,Hogares en etapa de expansion _Norm,Hogares en etapa de consolidacion ,Hogares en etapa de consolidacion _Norm,Hogarese en etapa de salida ,Hogarese en etapa de salida _Norm,Hogares con pareja mayor sin hijos,Hogares con pareja mayor sin hijos_Norm
14,CUNDINAMARCA,25,15.0,932378.0,107573.0,25806.0,123041.0,256420.0,0.1153748801451771,0.0276776157309589,0.1319647181722434,0.2750172140483795,45.0,9.0,PARTIDO CAMBIO RADICAL: 0.209,PARTIDO CENTRO DEMOCRÁTICO: 0.183,PARTIDO DE LA U: 0.127,PARTIDO CONSERVADOR COLOMBIANO: 0.115,PARTIDO LIBERAL COLOMBIANO: 0.108,74.71,59.855,360.813,423.91,111.402,315.749,601.734,69.89,2.33,8.077,158.17,69.234,255.370,57.05,40.494,"0,029","0,023","0,138","0,162","0,043","0,121","0,231","0,027","0,001","0,003","0,061","0,027","0,098","0,022","0,016",9.897,95,146.0,59.0,12.757,2.718.390,27.453,"0,004",0,0,0,"0,005","0,982","0,01",2.456.916,99.82,"0,950","0,039",635.732,514.870,14.003,89.415,53.198,91.777,973.709,29.895,"0,265","0,214","0,006","0,037","0,022","0,038","0,405","0,012",678.622,191.329,9.278,863.0,5.325,7.902,6.421,"0,754","0,213","0,01","0,001","0,006","0,009","0,007",885.722,14.018,807.017,92.723,690.966,208.774,624.544,268.719,6.477,739.380,160.36,377.456,515.669,6.615,"0,984","0,016","0,897","0,103","0,768","0,232","0,694","0,299","0,007","0,822","0,178","0,420","0,573","0,007",36.62,"0,051",75.449,"0,105",125.286,"0,174",209.2,"0,29",182.046,"0,253",91.753,"0,127"
15,GUAINIA,94,50.0,16062.0,277.0,292.0,680.0,1249.0,0.0172456730170588,0.0181795542273689,0.0423359482007222,0.07776117544515,30.0,5.0,PARTIDO CAMBIO RADICAL: 0.260,PARTIDO DE LA U: 0.253,PARTIDO CENTRO DEMOCRÁTICO: 0.237,PARTIDO ALIANZA SOCIAL INDEPENDIENTE: 0.129,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS: 0.047,2.545,2.179,4.775,13.122,1.495,6.706,3.046,1.01,33.0,79.0,1.064,634.0,1.121,461.0,1.886,"0,063","0,054","0,119","0,327","0,037","0,167","0,076","0,025","0,001","0,002","0,026","0,016","0,028","0,011","0,047",27.78,5,5.0,4.0,442.0,8.164,1.182,"0,739",0,0,0,"0,012","0,217","0,031",28.846,3.573,"0,866","0,107",10.344,3.974,64.0,985.0,161.0,710.0,11.545,5.486,"0,311","0,119","0,002","0,03","0,005","0,021","0,347","0,165",2.372,3.196,143.0,149.0,60.0,3.25,194.0,"0,253","0,341","0,015","0,016","0,006","0,347","0,021",5.822,3.542,2.047,7.317,2.621,6.743,0,9.364,0.0,3.615,5.749,693,8.442,229.0,"0,622","0,378","0,219","0,781","0,280","0,720","0,000","1,000","0,000","0,386","0,614","0,074","0,902","0,024",486.0,"0,06",1.244,"0,153",1.72,"0,211",3.07,"0,377",1.122,"0,138",494.0,"0,061"
16,GUAVIARE,95,54.0,31824.0,1506.0,769.0,2346.0,4621.0,0.0473227752639517,0.0241641528406234,0.0737179487179487,0.1452048768225239,35.0,3.0,PARTIDO LIBERAL COLOMBIANO: 0.406,PARTIDO CAMBIO RADICAL: 0.278,PARTIDO DE LA U: 0.235,NO INFO,NO INFO,3.437,1.563,8.972,17.666,3.01,10.271,9.077,1.893,98.0,283.0,2.829,1.353,2.755,1.116,3.515,"0,051","0,023","0,132","0,26","0,044","0,151","0,134","0,028","0,001","0,004","0,042","0,02","0,041","0,016","0,052",6.269,3,5.0,5.0,2.895,56.193,1.657,"0,094",0,0,0,"0,043","0,838","0,025",56.077,4.786,"0,907","0,077",19.383,7.206,254.0,4.077,792.0,1.586,21.457,5.935,"0,319","0,119","0,004","0,067","0,013","0,026","0,354","0,098",9.577,8.202,259.0,104.0,284.0,3.359,361.0,"0,432","0,37","0,012","0,005","0,013","0,152","0,016",16.455,5.691,10.029,12.117,10.255,11.891,4.150,17.644,352.0,13.943,8.203,2.809,18.904,433.0,"0,743","0,257","0,453","0,547","0,463","0,537","0,187","0,797","0,016","0,630","0,370","0,127","0,854","0,020",1.004,"0,063",1.85,"0,116",3.254,"0,204",5.526,"0,347",2.602,"0,163",1.706,"0,107"
17,HUILA,41,19.0,411825.0,26544.0,14819.0,34899.0,76262.0,0.0644545620105627,0.0359837309536817,0.084742305590967,0.1851805985552115,44.0,7.0,PARTIDO CONSERVADOR COLOMBIANO: 0.203,PARTIDO CAMBIO RADICAL: 0.173,PARTIDO CENTRO DEMOCRÁTICO: 0.146,PARTIDO LIBERAL COLOMBIANO: 0.143,PARTIDO DE LA U: 0.136,39.808,24.01,140.681,211.823,39.903,126.809,175.448,23.977,626.0,1.95,29.744,13.97,68.716,17.97,13.664,"0,043","0,026","0,151","0,228","0,043","0,136","0,189","0,026","0,001","0,002","0,032","0,015","0,074","0,019","0,015",12.12,35,43.0,29.0,4.971,976.255,8.401,"0,012",0,0,0,"0,005","0,974","0,008",851.601,60.943,"0,924","0,066",207.408,207.315,4.068,26.889,18.374,33.298,338.344,9.956,"0,245","0,245","0,005","0,032","0,022","0,039","0,4","0,012",202.261,68.851,10.71,949.0,8.585,7.9,2.395,"0,671","0,228","0,036","0,003","0,028","0,026","0,008",288.382,13.269,256.798,44.853,207.477,94.174,200.504,98.726,2.421,206.020,95.631,77.438,221.755,2.458,"0,956","0,044","0,851","0,149","0,688","0,312","0,665","0,327","0,008","0,683","0,317","0,257","0,735","0,008",10.366,"0,041",29.688,"0,117",45.239,"0,178",79.947,"0,315",58.31,"0,229",30.564,"0,12"
18,LA GUAJIRA,44,48.0,267306.0,6817.0,10731.0,26782.0,44330.0,0.0255026074985222,0.0401450023568494,0.1001922889871533,0.165839898842525,42.0,7.0,PARTIDO DE LA U: 0.336,PARTIDO CONSERVADOR COLOMBIANO: 0.274,PARTIDO LIBERAL COLOMBIANO: 0.213,PARTIDO CAMBIO RADICAL: 0.052,MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA: 0.024,101.501,25.434,69.393,170.93,24.93,102.73,108.273,19.751,1.017,1.794,29.35,8.813,45.254,6.559,12.171,"0,139","0,035","0,095","0,235","0,034","0,141","0,149","0,027","0,001","0,002","0,04","0,012","0,062","0,009","0,017",389.883,29,108.0,111.0,60.246,358.937,9.066,"0,476",0,0,0,"0,074","0,439","0,011",595.427,116.878,"0,826","0,162",238.804,48.929,1.422,40.467,4.03,13.983,266.902,14.545,"0,38","0,078","0,002","0,064","0,006","0,022","0,424","0,023",87.353,34.363,2.832,1.387,857.0,86.949,1.126,"0,407","0,16","0,013","0,006","0,004","0,405","0,005",130.335,84.532,100.043,114.824,89.975,124.892,86.305,127.499,1.063,99.152,115.715,23.171,190.543,1.153,"0,607","0,393","0,466","0,534","0,419","0,581","0,402","0,593","0,005","0,461","0,539","0,108","0,887","0,005",8.618,"0,047",32.68,"0,178",39.573,"0,216",60.496,"0,33",31.831,"0,174",9.983,"0,054"
19,MAGDALENA,47,21.0,507598.0,13176.0,12478.0,42562.0,68216.0,0.0259575490841177,0.0245824451632985,0.0838498181631921,0.1343898124106084,44.0,6.0,PARTIDO CAMBIO RADICAL: 0.259,PARTIDO LIBERAL COLOMBIANO: 0.181,PARTIDO OPCIÓN CIUDADANA: 0.138,PARTIDO DE LA U: 0.133,PARTIDO CONSERVADOR COLOMBIANO: 0.098,82.711,32.887,124.77,226.095,48.566,175.02,232.160,39.958,1.412,2.233,65.621,15.051,76.740,14.655,14.016,"0,072","0,029","0,108","0,196","0,042","0,152","0,202","0,035","0,001","0,002","0,057","0,013","0,067","0,013","0,012",20.536,39,93.0,80.0,106.114,1.124.721,8.959,"0,016",0,0,0,"0,084","0,892","0,007",1.026.869,112.285,"0,894","0,098",357.968,153.295,2.861,67.139,12.008,36.05,389.765,9.66,"0,348","0,149","0,003","0,065","0,012","0,035","0,379","0,009",164.026,113.046,3.268,3.756,2.04,31.141,2.029,"0,514","0,354","0,01","0,012","0,006","0,098","0,006",300.043,19.263,230.955,88.351,167.990,151.316,206.326,111.04,1.94,223.958,95.348,79.508,237.765,2.033,"0,940","0,060","0,723","0,277","0,526","0,474","0,646","0,348","0,006","0,701","0,299","0,249","0,745","0,006",13.034,"0,045",35.44,"0,123",50.976,"0,177",92.275,"0,32",68.6,"0,238",28.349,"0,098"
20,META,50,52.0,370039.0,40246.0,13073.0,43294.0,96613.0,0.1087615089220325,0.0353287085955804,0.1169984785387486,0.2610886960563616,43.0,7.0,PARTIDO CENTRO DEMOCRÁTICO: 0.291,PARTIDO LIBERAL COLOMBIANO: 0.222,PARTIDO CAMBIO RADICAL: 0.186,PARTIDO DE LA U: 0.109,COALICION COLOMBIA: 0.058,33.678,19.628,110.86,158.589,33.877,115.319,177.838,23.358,887.0,2.4,45.674,14.664,73.946,17.737,21.983,"0,04","0,023","0,13","0,186","0,04","0,136","0,209","0,027","0,001","0,003","0,054","0,017","0,087","0,021","0,026",20.024,32,94.0,30.0,8.46,855.796,16.784,"0,022",0,0,0,"0,009","0,95","0,019",773.531,43.47,"0,929","0,052",236.411,131.099,4.011,39.483,14.707,27.935,298.564,22.267,"0,305","0,169","0,005","0,051","0,019","0,036","0,386","0,029",221.496,50.68,1.205,453.0,2.35,9.397,3.179,"0,767","0,176","0,004","0,002","0,008","0,033","0,011",266.456,22.304,228.211,60.549,226.219,62.541,191.182,94.374,3.204,240.108,48.652,97.245,188.198,3.317,"0,923","0,077","0,790","0,210","0,783","0,217","0,662","0,327","0,011","0,832","0,168","0,337","0,652","0,011",12.786,"0,057",26.301,"0,117",41.878,"0,186",69.977,"0,311",48.744,"0,216",25.599,"0,114"
21,NARIÑO,52,23.0,591795.0,42570.0,18683.0,50592.0,111845.0,0.0719336932552657,0.0315700538193124,0.0854890629356449,0.1889928100102231,43.0,7.0,PARTIDO CONSERVADOR COLOMBIANO: 0.293,PARTIDO LIBERAL COLOMBIANO: 0.158,PARTIDO DE LA U: 0.143,PARTIDO CAMBIO RADICAL: 0.139,PARTIDO POLO DEMOCRÁTICO ALTERNATIVO: 0.126,71.853,23.738,192.468,322.372,40.145,141.747,226.035,31.699,1.317,3.139,38.519,13.745,87.139,24.021,29.532,"0,058","0,019","0,154","0,258","0,032","0,114","0,181","0,025","0,001","0,003","0,031","0,011","0,07","0,019","0,024",206.239,141,114.0,101.0,232.242,867.459,20.291,"0,155",0,0,0,"0,175","0,654","0,015",1.114.839,109.122,"0,900","0,088",237.328,260.704,5.319,26.608,22.621,43.744,530.859,22.882,"0,206","0,227","0,005","0,023","0,02","0,038","0,462","0,02",191.904,121.098,14.129,23.528,17.523,35.387,3.707,"0,471","0,297","0,035","0,058","0,043","0,087","0,009",370.826,36.45,294.873,112.403,197.862,209.414,31.580,371.653,4.043,221.799,185.477,69.296,332.893,5.087,"0,911","0,089","0,724","0,276","0,486","0,514","0,078","0,913","0,010","0,545","0,455","0,170","0,817","0,012",11.259,"0,033",38.865,"0,112",58.235,"0,168",104.661,"0,303",95.125,"0,275",37.575,"0,109"
22,NORTE DE SANTANDER,54,25.0,605677.0,29667.0,15483.0,54324.0,99474.0,0.0489815528738915,0.0255631301832494,0.0896913701527381,0.1642360532098792,42.0,5.0,PARTIDO LIBERAL COLOMBIANO: 0.227,PARTIDO CONSERVADOR COLOMBIANO: 0.189,PARTIDO CAMBIO RADICAL: 0.189,PARTIDO DE LA U: 0.179,PARTIDO CENTRO DEMOCRÁTICO: 0.152,70.766,29.794,173.365,256.577,51.517,164.934,247.590,33.71,1.538,2.514,46.639,19.825,106.814,23.37,17.725,"0,057","0,024","0,139","0,206","0,041","0,132","0,199","0,027","0,001","0,002","0,037","0,016","0,086","0,019","0,014",4.51,238,38.0,22.0,5.276,1.315.612,12.047,"0,003",0,0,0,"0,004","0,983","0,009",1.139.675,86.015,"0,921","0,069",292.460,235.034,6.626,45.379,23.723,48.473,473.287,12.4,"0,257","0,207","0,006","0,04","0,021","0,043","0,416","0,011",299.409,46.856,10.028,1.361,9.209,14.46,3.392,"0,778","0,122","0,026","0,004","0,024","0,038","0,009",368.120,16.595,320.229,64.486,304.985,79.73,189.440,191.882,3.393,319.405,65.31,108.485,272.722,3.508,"0,957","0,043","0,832","0,168","0,793","0,207","0,492","0,499","0,009","0,830","0,170","0,282","0,709","0,009",15.325,"0,048",34.933,"0,11",54.604,"0,172",95.375,"0,3",88.523,"0,279",28.91,"0,091"
23,PUTUMAYO,86,64.0,102332.0,5398.0,2731.0,6890.0,15019.0,0.0527498729625141,0.0266876441386858,0.0673298674901301,0.1467673845913301,40.0,5.0,PARTIDO LIBERAL COLOMBIANO: 0.344,PARTIDO CONSERVADOR COLOMBIANO: 0.253,PARTIDO ALIANZA VERDE: 0.232,PARTIDO POLITICO MIRA: 0.060,PARTIDO CENTRO DEMOCRÁTICO: 0.055,11.058,5.968,34.923,63.808,12.247,38.428,48.190,7.807,359.0,533.0,9.544,5.115,13.162,4.283,5.63,"0,042","0,023","0,134","0,244","0,047","0,147","0,185","0,03","0,001","0,002","0,037","0,02","0,05","0,016","0,022",50.013,17,12.0,30.0,10.008,213.515,3.882,"0,18",0,0,0,"0,036","0,769","0,014",235.039,17.561,"0,920","0,069",65.288,38.555,856.0,13.274,4.212,7.576,99.033,7.171,"0,277","0,163","0,004","0,056","0,018","0,032","0,42","0,03",48.473,27.653,1.757,1.242,3.068,8.551,764.0,"0,53","0,302","0,019","0,014","0,034","0,093","0,008",70.944,20.564,47.315,44.193,49.898,41.61,13.261,77.496,751.0,54.930,36.578,9.947,80.704,857.0,"0,775","0,225","0,517","0,483","0,545","0,455","0,145","0,847","0,008","0,600","0,400","0,109","0,882","0,009",3.725,"0,052",10.788,"0,15",15.371,"0,214",24.151,"0,337",10.228,"0,143",7.472,"0,104"
24,QUINDIO,63,26.0,241967.0,22519.0,6897.0,27718.0,57134.0,0.0930664098823393,0.0285038868936673,0.1145528109204974,0.236123107696504,41.0,4.0,PARTIDO LIBERAL COLOMBIANO: 0.340,PARTIDO CENTRO DEMOCRÁTICO: 0.214,PARTIDO CAMBIO RADICAL: 0.213,PARTIDO POLITICO MIRA: 0.132,NO INFO,19.137,7.271,56.39,79.966,19.28,66.732,113.263,13.693,361.0,1.554,23.277,11.826,50.336,13.25,6.369,"0,04","0,015","0,117","0,166","0,04","0,138","0,235","0,028","0,001","0,003","0,048","0,024","0,104","0,027","0,013",2.854,6,21.0,2.0,5.99,491.947,4.791,"0,006",0,0,0,"0,012","0,973","0,009",449.957,24.173,"0,940","0,050",105.845,95.875,5.298,17.674,14.442,24.107,185.756,4.483,"0,233","0,211","0,012","0,039","0,032","0,053","0,41","0,01",150.478,15.929,905.0,116.0,908.0,431.0,1.287,"0,885","0,094","0,005","0,001","0,005","0,003","0,008",168.496,1.558,165.221,4.833,154.836,15.218,136.914,31.826,1.314,159.096,10.958,77.442,91.272,1.34,"0,991","0,009","0,972","0,028","0,911","0,089","0,805","0,187","0,008","0,936","0,064","0,455","0,537","0,008",6.88,"0,053",10.433,"0,08",16.625,"0,127",32.442,"0,248",45.474,"0,348",18.835,"0,144"
25,RISARALDA,66,24.0,384368.0,29780.0,11779.0,42562.0,84121.0,0.0774778337426632,0.0306451109353536,0.1107324230945344,0.2188553677725513,44.0,7.0,PARTIDO LIBERAL COLOMBIANO: 0.213,PARTIDO CENTRO DEMOCRÁTICO: 0.172,PARTIDO CONSERVADOR COLOMBIANO: 0.161,PARTIDO POLITICO MIRA: 0.114,PARTIDO CAMBIO RADICAL: 0.110,30.684,14.091,98.609,146.083,31.606,106.032,173.477,21.591,600.0,1.709,39.993,17.227,80.480,20.77,9.292,"0,039","0,018","0,124","0,184","0,04","0,134","0,219","0,027","0,001","0,002","0,05","0,022","0,102","0,026","0,012",29.637,18,94.0,29.0,16.533,782.335,6.114,"0,036",0,0,0,"0,02","0,937","0,007",738.583,42.202,"0,938","0,054",161.424,174.429,10.036,22.046,23.464,38.594,301.186,6.933,"0,219","0,236","0,014","0,03","0,032","0,052","0,408","0,009",234.068,23.726,2.331,730.0,8.439,2.456,1.509,"0,857","0,087","0,009","0,003","0,031","0,009","0,006",271.487,1.772,256.692,16.567,240.402,32.857,206.994,64.716,1.549,244.517,28.742,142.422,129.22,1.617,"0,994","0,006","0,939","0,061","0,880","0,120","0,758","0,237","0,006","0,895","0,105","0,521","0,473","0,006",12.122,"0,057",18.611,"0,087",29.597,"0,139",54.49,"0,256",70.808,"0,332",27.455,"0,129"
26,SAN ANDRES,88,56.0,24289.0,741.0,591.0,1365.0,2697.0,0.0305076372020256,0.0243320021408868,0.0561982790563629,0.1110379183992753,34.0,4.0,PARTIDO LIBERAL COLOMBIANO: 0.416,PARTIDO CAMBIO RADICAL: 0.327,G.S.C. MOVIMIENTO DE INTEGRACION REGIONAL: 0.144,PARTIDO SOMOS: 0.052,NO INFO,504.0,848.0,3.396,4.657,2.421,7.111,11.701,1.608,29.0,135.0,4.434,1.7,4.666,944.0,795.0,"0,011","0,019","0,076","0,104","0,054","0,158","0,26","0,036","0,001","0,003","0,099","0,038","0,104","0,021","0,018",20.0,0,20.308,10.0,6.528,20.640,328.0,0,0,"0,425",0,"0,136","0,431","0,007",43.108,969.0,"0,969","0,022",10.429,9.579,315.0,1.599,711.0,1.204,17.054,609.0,"0,251","0,231","0,008","0,039","0,017","0,029","0,411","0,015",2.423,13.301,77.0,19.0,64.0,241.0,72.0,"0,15","0,821","0,005","0,001","0,004","0,015","0,004",16.102,95.0,5.940,10.257,2.687,13.51,0,16.197,0.0,15.729,468.0,4.333,11.788,76.0,"0,994","0,006","0,367","0,633","0,166","0,834","0,000","1,000","0,000","0,971","0,029","0,268","0,728","0,005",555.0,"0,046",1.119,"0,092",1.832,"0,151",3.067,"0,253",3.843,"0,317",1.694,"0,14"
27,SANTANDER,68,27.0,847540.0,82581.0,24765.0,79470.0,186816.0,0.0974361092101847,0.0292198598296245,0.0937654859947613,0.2204214550345706,44.0,8.0,PARTIDO LIBERAL COLOMBIANO: 0.332,PARTIDO CENTRO DEMOCRÁTICO: 0.209,COALICION ALTERNATIVA SANTANDEREANA AS: 0.106,PARTIDO CAMBIO RADICAL: 0.099,PARTIDO CONSERVADOR COLOMBIANO: 0.092,70.664,42.077,256.01,331.804,66.769,209.945,421.542,43.937,1.763,4.414,88.253,61.008,195.793,52.15,27.716,"0,038","0,022","0,137","0,177","0,036","0,112","0,225","0,023","0,001","0,002","0,047","0,033","0,104","0,028","0,015",1.219,347,150.0,49.0,22.416,1.946.369,21.479,"0,001",0,0,0,"0,011","0,977","0,011",1.748.326,88.867,"0,941","0,048",381.428,448.546,14.056,50.068,43.026,75.138,692.690,21.621,"0,221","0,26","0,008","0,029","0,025","0,044","0,401","0,013",452.581,113.078,15.062,892.0,10.808,11.248,4.707,"0,744","0,186","0,025","0,001","0,018","0,018","0,008",602.751,5.625,516.267,92.109,461.115,147.261,414.796,188.82,4.76,484.014,124.362,274.017,329.4,4.959,"0,991","0,009","0,849","0,151","0,758","0,242","0,682","0,310","0,008","0,796","0,204","0,450","0,541","0,008",24.496,"0,049",52.853,"0,105",82.076,"0,163",138.398,"0,275",142.483,"0,284",62.208,"0,124"
28,SUCRE,70,28.0,436855.0,17516.0,29933.0,33416.0,80865.0,0.040095683922583,0.0685193027434732,0.0764921999290382,0.1851071865950944,42.0,6.0,PARTIDO CAMBIO RADICAL: 0.428,PARTIDO OPCIÓN CIUDADANA: 0.234,PARTIDO LIBERAL COLOMBIANO: 0.174,PARTIDO CENTRO DEMOCRÁTICO: 0.049,"COALICION LISTA DE LA DECENCIA (UP,ASI): 0.029",75.637,21.953,94.087,157.031,32.339,111.319,151.635,25.163,1.673,1.65,37.848,9.276,52.952,11.377,9.729,"0,095","0,028","0,119","0,198","0,041","0,14","0,191","0,032","0,002","0,002","0,048","0,012","0,067","0,014","0,012",104.878,134,135.0,46.0,102.654,647.511,4.767,"0,122",0,0,0,"0,119","0,753","0,006",690.088,94.095,"0,874","0,119",245.834,111.434,1.781,44.625,8.769,26.579,269.081,6.853,"0,344","0,156","0,002","0,062","0,012","0,037","0,376","0,01",126.372,63.347,3.304,1.373,720.0,32.909,1.31,"0,551","0,276","0,014","0,006","0,003","0,143","0,006",221.591,7.744,195.362,33.973,129.300,100.035,132.145,95.876,1.314,133.504,95.831,37.837,190.167,1.331,"0,966","0,034","0,852","0,148","0,564","0,436","0,576","0,418","0,006","0,582","0,418","0,165","0,829","0,006",7.977,"0,04",22.097,"0,11",33.653,"0,168",59.128,"0,295",55.915,"0,279",21.629,"0,108"
29,TOLIMA,73,29.0,504984.0,31455.0,17864.0,50379.0,99698.0,0.0622891022289815,0.0353753782298053,0.099763556865168,0.1974280373239548,44.0,8.0,PARTIDO CONSERVADOR COLOMBIANO: 0.263,PARTIDO CENTRO DEMOCRÁTICO: 0.190,PARTIDO DE LA U: 0.112,PARTIDO CAMBIO RADICAL: 0.112,PARTIDO LIBERAL COLOMBIANO: 0.102,58.496,21.669,162.91,234.218,45.667,150.729,235.615,30.48,1.47,3.181,45.137,24.376,94.773,24.12,16.978,"0,051","0,019","0,142","0,204","0,04","0,131","0,205","0,027","0,001","0,003","0,039","0,021","0,082","0,021","0,015",45.156,157,60.0,37.0,4.991,1.155.632,11.467,"0,037",0,0,0,"0,004","0,949","0,009",1.051.820,74.781,"0,924","0,066",295.938,207.877,6.296,40.314,22.754,51.553,423.117,11.889,"0,279","0,196","0,006","0,038","0,021","0,049","0,399","0,011",293.567,72.048,17.022,1.658,6.918,11.596,4.075,"0,722","0,177","0,042","0,004","0,017","0,028","0,01",397.981,8.903,345.378,61.506,301.140,105.744,281.894,120.883,4.107,301.922,104.962,123.546,279.18,4.158,"0,978","0,022","0,849","0,151","0,740","0,260","0,693","0,297","0,010","0,742","0,258","0,304","0,686","0,010",13.471,"0,043",30.068,"0,097",49.132,"0,158",88.094,"0,283",82.939,"0,266",47.851,"0,154"
30,VALLE,76,31.0,1579036.0,104991.0,38974.0,155992.0,299957.0,0.0664905676628018,0.0246821478421011,0.0987893879556894,0.1899621034605924,47.0,10.0,PARTIDO LIBERAL COLOMBIANO: 0.214,PARTIDO DE LA U: 0.211,PARTIDO CENTRO DEMOCRÁTICO: 0.110,PARTIDO CONSERVADOR COLOMBIANO: 0.091,PARTIDO ALIANZA VERDE: 0.078,111.703,65.497,407.57,539.112,144.166,464.182,895.239,97.29,3.487,11.703,225.721,102.457,371.134,83.581,49.86,"0,031","0,018","0,114","0,151","0,04","0,13","0,251","0,027","0,001","0,003","0,063","0,029","0,104","0,023","0,014",30.659,136,443.0,290.0,644.58,3.045.562,40.559,"0,008",0,0,0,"0,171","0,81","0,011",3.347.709,160.939,"0,944","0,045",847.634,676.153,30.161,138.247,77.976,157.764,1.363.129,38.119,"0,255","0,203","0,009","0,042","0,023","0,047","0,409","0,011",1.102.719,86.15,7.549,3.193,17.664,4.436,9.859,"0,895","0,07","0,006","0,003","0,014","0,004","0,008",1.216.379,15.191,1.174.360,57.21,1.119.657,111.913,1.003.741,218.169,9.66,1.156.676,74.894,683.961,537.45,10.159,"0,988","0,012","0,954","0,046","0,909","0,091","0,815","0,177","0,008","0,939","0,061","0,555","0,436","0,008",50.939,"0,053",86.545,"0,09",137.28,"0,143",243.983,"0,253",321.355,"0,334",122.662,"0,127"
31,VAUPES,97,68.0,11817.0,192.0,165.0,325.0,682.0,0.0162477786240162,0.0139629347550139,0.0275027502750275,0.0577134636540577,22.0,2.0,PARTIDO LIBERAL COLOMBIANO: 0.445,PARTIDO DE LA U: 0.321,NO INFO,NO INFO,NO INFO,1.848,1.283,3.92,11.502,1.542,6.145,3.084,1.012,203.0,176.0,576.0,357.0,858,336.0,1.668,"0,054","0,037","0,114","0,333","0,045","0,178","0,089","0,029","0,006","0,005","0,017","0,01","0,025","0,01","0,048",24.102,0,10.0,8.0,239.0,3.679,925.0,"0,832",0,0,0,"0,008","0,127","0,032",21.957,3.166,"0,851","0,123",6.953,3.499,54.0,504.0,118.0,770.0,9.371,6.361,"0,252","0,127","0,002","0,018","0,004","0,028","0,339","0,23",1.974,1.032,57.0,34.0,37.0,3.448,247.0,"0,289","0,151","0,008","0,005","0,005","0,505","0,036",3.249,3.58,2.393,4.436,2.124,4.705,0,6.829,0.0,2.438,4.391,280,6.253,296.0,"0,476","0,524","0,350","0,650","0,311","0,689","0,000","1,000","0,000","0,357","0,643","0,041","0,916","0,043",280.0,"0,05",742.0,"0,131",1.12,"0,198",2.288,"0,405",854.0,"0,151",359.0,"0,064"
32,VICHADA,99,72.0,24647.0,346.0,448.0,1106.0,1900.0,0.0140382196616221,0.0181766543595569,0.0448736154501562,0.0770884894713352,34.0,4.0,PARTIDO CENTRO DEMOCRÁTICO: 0.334,PARTIDO CAMBIO RADICAL: 0.298,PARTIDO LIBERAL COLOMBIANO: 0.228,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS: 0.080,NO INFO,6.874,1.986,7.995,21.507,2.207,9.181,7.169,1.391,199.0,290.0,1.429,876.0,1.750,573.0,3.657,"0,102","0,03","0,119","0,321","0,033","0,137","0,107","0,021","0,003","0,004","0,021","0,013","0,026","0,009","0,055",41.919,1,5.0,5.0,558.0,26.700,2.217,"0,587",0,0,0,"0,008","0,374","0,031",51.301,9.009,"0,829","0,146",21.908,4.959,168.0,2.303,332.0,1.252,20.293,5.986,"0,383","0,087","0,003","0,04","0,006","0,022","0,355","0,105",882,8.416,118.0,465.0,77.0,7.375,366.0,"0,05","0,476","0,007","0,026","0,004","0,417","0,021",7.697,10.002,6.506,11.193,1.140,16.559,0,17.699,0.0,6.424,11.275,903,16.357,439.0,"0,435","0,565","0,368","0,632","0,064","0,936","0,000","1,000","0,000","0,363","0,637","0,051","0,924","0,025",1.13,"0,074",2.769,"0,182",3.313,"0,218",5.201,"0,342",1.612,"0,106",1.188,"0,078"
