,Departamento,DPTO_CCDGO,Codigo_Departamento,Total_votos,votos_en_blanco,votos_no_marcados,votos_nulos,Total_votos_No_Validos,votos_en_blanco_Norm,votos_no_marcados_Norm,votos_nulos_Norm,Total_votos_No_Validos_Norm,Total_Partidos,Total_Partidos_95,Partido_1,Partido_1_Votos,Partido_1_Porc,Partido_2,Partido_2_Votos,Partido_2_Porc,Partido_3,Partido_4,Partido_5,Diff,ALF_Sabe_Leer,ALF_No_Sabe_Leer,ALF_SININF,ALF_Sabe_Leer_Norm,ALF_No_Sabe_Leer_Norm,ALF_SININF_Norm,EDAD_19_menos,EDAD_20-24_anos,EDAD_25-29_anos,EDAD_30-34_anos,EDAD_35-39_anos,EDAD_40-44_anos,EDAD_45-49_anos,EDAD_50-54_anos,EDAD_55-59_anos,EDAD_60_mas,EDAD_19_o_menor,EDAD_20_24_Norm,EDAD_25_29_Norm,EDAD_30_34_Norm,EDAD_35_39_Norm,EDAD_40_44_Norm,EDAD_45_49_Norm,EDAD_50_54_Norm,EDAD_55_59_Norm,EDAD_60_o_mas,ED_Ninguno,ED_Preescolar,ED_Primaria_Completa,ED_Primaria_Incompleta,ED_Secundaria_Completa,ED_Secundaria_Incompleta,ED_Media_Completa,ED_Media_Incompleta,ED_Ordinaria_Completa,ED_Ordinaria_Incompleta,ED_Tecnico,ED_Tecnologico,ED_Universitario,ED_Postgrado,ED_SININF,ED_Ninguno_Norm,ED_Preescolar_Norm,ED_Primaria_Completa_Norm,ED_Primaria_Incompleta_Norm,ED_Secundaria_Completa_Norm,ED_Secundaria_Incompleta_Norm,ED_Media_Completa_Norm,ED_Media_Incompleta_Norm,ED_Ordinaria_Completa_Norm,ED_Ordinaria_Incompleta_Norm,ED_Tecnico_Norm,ED_Tecnologico_Norm,ED_Universitario_Norm,ED_Postgrado_Norm,ED_SININF_Norm,ET_Indigena,ET_Gitano,ET_Raizal,ET_Palenquero,ET_Negro,ET_NOETNIA,ET_SININF,ET_Indigena_Norm,ET_Gitano_Norm,ET_Raizal_Norm,ET_Palenquero_Norm,ET_Negro_Norm,ET_NOETNIA_Norm,ET_SININF_Norm,Total_x,EST_Union_libre_x,EST_Casado_x,EST_Divorciado_x,EST_Separado_de_union_libre_x,EST_Separado_de_matrimonio_x,EST_Viudo_x,EST_Soltero_x,EST_SININF_x,EST_Union_libre_Norm,EST_Casado_Norm,EST_Divorciado_Norm,EST_Separado_de_union_libre_Norm,EST_Separado_de_matrimonio_Norm,EST_Viudo_Norm,EST_Soltero_Norm,EST_SININF_Norm,Total_y,EST_Union_libre_y,EST_Casado_y,EST_Divorciado_y,EST_Separado_de_union_libre_y,EST_Separado_de_matrimonio_y,EST_Viudo_y,EST_Soltero_y,EST_SININF_y,EST_Union_libre_Norm_y,EST_Casado_Norm_y,EST_Divorciado_Norm_y,EST_Separado_de_union_libre_Norm_y,EST_Separado_de_matrimonio_Norm_y,EST_Viudo_Norm_y,EST_Soltero_Norm_y,EST_SININF_Norm_y,SAN_Inodoro-alcantarillado,SAN_Inodoro-pozo_septico,SAN_Inodoro_sin_conexion,SAN_Letrina,SAN_Inodoro-fuentes_de_agua,SAN_Sin_servicio_sanitario,SAN_SININF,SAN_Inodoro_alcantarillado_Norm,SAN_Inodoro_pozo_septico_Norm,SAN_Inodoro_sin_conexion_Norm,SAN_Letrina_Norm,SAN_Inodoro_fuentes_de_agua_Norm,SAN_Sin_servicio_sanitario_Norm,SAN_SININF_Norm,SER_Energia_electrica_Si,SER_Energia_electrica_No,SER_Acueducto_Si,SER_Acueducto_No,SER_Alcantarillado_Si,SER_Alcantarillado_No,SER_Gas_natural_Si,SER_Gas_natural_No,SER_Gas_natural_Sin_informacion,SER_Basuras_Si,SER_Basuras_No,SER_Internet_Si,SER_Internet_No,SER_Internet_Sin_informacion,SER_Energia_electrica_Si_Norm,SER_Energia_electrica_No_Norm,SER_Acueducto_Si_Norm,SER_Acueducto_No_Norm,SER_Alcantarillado_Si_Norm,SER_Alcantarillado_No_Norm,SER_Gas_natural_Si_Norm,SER_Gas_natural_No_Norm,SER_Gas_natural_Sin_informacion_Norm,SER_Basuras_Si_Norm,SER_Basuras_No_Norm,SER_Internet_Si_Norm,SER_Internet_No_Norm,SER_Internet_Sin_informacion_Norm,SX_Hombre,SX_Mujer,SX_Hombre_Norm,SX_Mujer_Norm,Pareja_joven_sin_hijos,Etapa_inicial,Etapa_de_expansion_,Etapa_de_consolidacion_,Etapa_de_salida_,Pareja_mayor_sin_hijos,TH_Pareja_joven_sin_hijos_Norm,TH_Etapa_inicial_Norm,TH_Etapa_de_expansion__Norm,TH_Etapa_de_consolidacion__Norm,TH_Etapa_de_salida__Norm,TH_Pareja_mayor_sin_hijos_Norm
0,AMAZONAS,91,60,19972,471,48,167,686,0.023583016,0.002403365,0.008361706,0.034348087,41,5,PARTIDO CENTRO DEMOCRATICO,9962,0.4988,COALICION PETRO PRESIDENTE,9324,0.4669,PARTIDO LIBERAL COLOMBIANO: 0.242,PARTIDO ALIANZA VERDE: 0.064,PARTIDO POLO DEMOCRÁTICO ALTERNATIVO: 0.027,0.0319,37149,2324,1101,0.9156,0.0573,0.0271,28540,5447,5029,4507,4007,3239,2830,2355,1971,4273,0.459,0.088,0.081,0.072,0.064,0.052,0.045,0.038,0.032,0.069,2037,1664,6912,12327,2901,10776,10029,2685,333,351,2410,701,2007,723,3127,0.035,0.028,0.117,0.209,0.049,0.183,0.17,0.046,0.006,0.006,0.041,0.012,0.034,0.012,0.053,35627,5,13,0,466,23829,2258,0.5728,0.0001,0.0002,0,0.0075,0.3831,0.0363,51278,16759,5506,148,1831,337,1263,20297,5137,0.327,0.107,0.003,0.036,0.007,0.025,0.396,0.1,51278,16759,5506,148,1831,337,1263,20297,5137,0.327,0.107,0.003,0.036,0.007,0.025,0.396,0.1,4867,6121,439,479,720,2194,602,0.316,0.397,0.028,0.031,0.047,0.142,0.039,11954,3468,5962,9460,5241,10181,298,14605,519,7759,7663,788,13972,662,0.775,0.225,0.387,0.613,0.34,0.66,0.019,0.947,0.034,0.503,0.497,0.051,0.906,0.043,34422,31634,0.521,0.479,579,1771,2591,5057,2108,840,0.045,0.137,0.2,0.391,0.163,0.065
1,ANTIOQUIA,5,1,2590536,139613,4825,38417,182855,6.990436611,0.241588224,1.92354296,9.155567795,47,8,PARTIDO CENTRO DEMOCRATICO,1850996,0.7145,COALICION PETRO PRESIDENTE,556685,0.2149,PARTIDO CONSERVADOR COLOMBIANO: 0.152,PARTIDO CAMBIO RADICAL: 0.078,PARTIDO ALIANZA VERDE: 0.076,0.4996,4502034,208834,47149,0.9462,0.0439,0.0099,1666426,534644,521255,469661,445563,364765,362449,380933,338603,847193,0.281,0.09,0.088,0.079,0.075,0.061,0.061,0.064,0.057,0.143,222981,110875,657612,961812,214668,738182,1274048,147392,6373,22137,334847,192740,523255,146248,76285,0.04,0.02,0.117,0.171,0.038,0.131,0.226,0.026,0.001,0.004,0.059,0.034,0.093,0.026,0.014,37398,140,572,183,310688,5527564,54947,0.0063,0,0.0001,0,0.0524,0.9319,0.0093,5247570,1072324,1230824,49080,131148,156336,228852,2320856,58150,0.204,0.235,0.009,0.025,0.03,0.044,0.442,0.011,5247570,1072324,1230824,49080,131148,156336,228852,2320856,58150,0.204,0.235,0.009,0.025,0.03,0.044,0.442,0.011,1563592,197767,43731,4295,77098,34531,12569,0.809,0.102,0.023,0.002,0.04,0.018,0.007,1910386,23197,1741310,192273,1597608,335975,1194873,726032,12678,1720765,212818,1007573,913146,12864,0.988,0.012,0.901,0.099,0.826,0.174,0.618,0.375,0.007,0.89,0.11,0.521,0.472,0.007,2885383,3089405,0.483,0.517,93562,141922,218681,400753,486460,157035,0.062,0.095,0.146,0.267,0.325,0.105
2,ARAUCA,81,40,93490,3220,238,1513,4971,0.161225716,0.011916683,0.075756058,0.248898458,39,4,PARTIDO CENTRO DEMOCRATICO,59591,0.6374,COALICION PETRO PRESIDENTE,28928,0.3094,PARTIDO CAMBIO RADICAL: 0.277,COALICION ARAUCA PARA TODOS: 0.064,NO INFO,0.328,156833,11171,1514,0.9252,0.0659,0.0089,90094,22121,20871,18255,16852,14020,12953,11491,9304,20785,0.381,0.093,0.088,0.077,0.071,0.059,0.055,0.049,0.039,0.088,13125,6046,30874,50064,8379,31790,39161,6031,244,546,9390,2903,12538,3349,20,0.061,0.028,0.144,0.233,0.039,0.148,0.183,0.028,0.001,0.003,0.044,0.014,0.058,0.016,0,6229,4,51,13,9963,218633,1853,0.0263,0,0.0002,0.0001,0.0421,0.9235,0.0078,196019,65138,28429,820,11724,2771,6067,77587,3483,0.332,0.145,0.004,0.06,0.014,0.031,0.396,0.018,196019,65138,28429,820,11724,2771,6067,77587,3483,0.332,0.145,0.004,0.06,0.014,0.031,0.396,0.018,39648,23932,636,464,210,5509,595,0.558,0.337,0.009,0.007,0.003,0.078,0.008,65030,5964,51727,19267,40868,30126,2872,67530,592,48238,22756,9395,61005,594,0.916,0.084,0.729,0.271,0.576,0.424,0.04,0.951,0.008,0.679,0.321,0.132,0.859,0.008,121060,118443,0.505,0.495,3300,7910,11678,18288,10800,5240,0.058,0.138,0.204,0.32,0.189,0.092
3,ATLANTICO,8,3,807796,17746,612,4834,23192,0.888543962,0.0306429,0.242038854,1.161225716,46,7,COALICION PETRO PRESIDENTE,440975,0.5459,PARTIDO CENTRO DEMOCRATICO,343629,0.4254,PARTIDO DE LA U: 0.123,PARTIDO LIBERAL COLOMBIANO: 0.112,PARTIDO CENTRO DEMOCRÁTICO: 0.083,-0.1205,1697934,64272,17975,0.9538,0.0361,0.0101,763658,205726,196103,177860,171065,143334,136668,134839,118245,288936,0.327,0.088,0.084,0.076,0.073,0.061,0.058,0.058,0.051,0.124,69822,54508,215995,292320,89111,264309,554614,69678,2575,6205,174756,47435,250552,43076,27396,0.032,0.025,0.1,0.135,0.041,0.122,0.256,0.032,0.001,0.003,0.081,0.022,0.116,0.02,0.013,39045,101,470,851,138770,2133725,23472,0.0167,0,0.0002,0.0004,0.0594,0.9132,0.01,1975614,540412,443779,10687,101061,41118,74039,743110,21408,0.274,0.225,0.005,0.051,0.021,0.037,0.376,0.011,1975614,540412,443779,10687,101061,41118,74039,743110,21408,0.274,0.225,0.005,0.051,0.021,0.037,0.376,0.011,503712,74413,1982,1397,2026,11123,3526,0.842,0.124,0.003,0.002,0.003,0.019,0.006,591697,6482,576711,21468,511207,86972,535085,59552,3542,565186,32993,274001,320552,3626,0.989,0.011,0.964,0.036,0.855,0.145,0.895,0.1,0.006,0.945,0.055,0.458,0.536,0.006,1140357,1201908,0.487,0.513,24163,57870,84060,151306,168550,46253,0.045,0.109,0.158,0.284,0.317,0.087
4,BOGOTA D.C.,11,16,3578130,200249,1417,38322,239988,10.02648708,0.070949329,1.918786301,12.01622271,47,9,COALICION PETRO PRESIDENTE,1889050,0.5279,PARTIDO CENTRO DEMOCRATICO,1449092,0.405,"COALICION LISTA DE LA DECENCIA (ASI,UP,MAIS): 0.107",PARTIDO CAMBIO RADICAL: 0.098,PARTIDO LIBERAL COLOMBIANO: 0.076,-0.1229,5634570,74713,108975,0.9684,0.0128,0.0187,1882574,691824,675619,605291,571831,477850,451720,451485,399119,942227,0.263,0.097,0.094,0.085,0.08,0.067,0.063,0.063,0.056,0.132,111390,140735,633749,669227,249880,650850,1590176,163159,5257,22797,499767,240571,1213555,416430,161781,0.016,0.021,0.094,0.099,0.037,0.096,0.235,0.024,0.001,0.003,0.074,0.036,0.179,0.062,0.024,18560,571,1046,218,65069,6928507,135569,0.0026,0.0001,0.0001,0,0.0091,0.9691,0.019,6321329,1427676,1371179,73982,247438,164822,226242,2686010,123980,0.226,0.217,0.012,0.039,0.026,0.036,0.425,0.02,6321329,1427676,1371179,73982,247438,164822,226242,2686010,123980,0.226,0.217,0.012,0.039,0.026,0.036,0.425,0.02,2287247,20782,1826,257,4537,1310,29231,0.975,0.009,0.001,0,0.002,0.001,0.012,2339400,5790,2332920,12270,2325515,19675,2183785,131835,29570,2329993,15197,1748648,566617,29925,0.998,0.002,0.995,0.005,0.992,0.008,0.931,0.056,0.013,0.994,0.006,0.746,0.242,0.013,3433586,3747883,0.478,0.522,128079,193476,280997,487132,578681,173970,0.07,0.105,0.153,0.264,0.314,0.094
5,BOLIVAR,13,5,679640,12633,784,3944,17361,0.63253555,0.039254957,0.197476467,0.869266974,43,6,PARTIDO CENTRO DEMOCRATICO,345595,0.5085,COALICION PETRO PRESIDENTE,316684,0.466,PARTIDO LIBERAL COLOMBIANO: 0.147,PARTIDO DE LA U: 0.118,PARTIDO CENTRO DEMOCRÁTICO: 0.087,0.0425,1272376,107344,10425,0.9153,0.0772,0.0075,688890,163862,153483,137523,129187,111688,106783,102596,86813,222631,0.362,0.086,0.081,0.072,0.068,0.059,0.056,0.054,0.046,0.117,107699,45590,195487,316262,72579,251746,375463,57561,1950,5643,106725,41444,127634,23473,18865,0.062,0.026,0.112,0.181,0.042,0.144,0.215,0.033,0.001,0.003,0.061,0.024,0.073,0.013,0.011,5199,31,571,3988,314681,1567113,11873,0.0027,0,0.0003,0.0021,0.1653,0.8233,0.0062,1573107,529991,256049,4882,111829,21126,52780,581952,14498,0.337,0.163,0.003,0.071,0.013,0.034,0.37,0.009,1573107,529991,256049,4882,111829,21126,52780,581952,14498,0.337,0.163,0.003,0.071,0.013,0.034,0.37,0.009,254361,185116,5455,6645,3189,51816,2587,0.5,0.364,0.011,0.013,0.006,0.102,0.005,482243,26926,400728,108441,259262,249907,355014,151530,2625,362286,146883,134641,371856,2672,0.947,0.053,0.787,0.213,0.509,0.491,0.697,0.298,0.005,0.712,0.288,0.264,0.73,0.005,947598,961862,0.496,0.504,20450,55642,77923,132261,116787,47328,0.045,0.124,0.173,0.294,0.259,0.105
6,BOYACA,15,7,574026,20682,896,8785,30363,1.03554977,0.044862808,0.439865812,1.52027839,45,7,PARTIDO CENTRO DEMOCRATICO,309879,0.5398,COALICION PETRO PRESIDENTE,233784,0.4073,PARTIDO CAMBIO RADICAL: 0.152,PARTIDO CENTRO DEMOCRÁTICO: 0.134,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS: 0.109,0.1325,812915,49800,8823,0.9327,0.0571,0.0101,352764,88718,78455,75900,78143,71843,70010,67717,61303,179637,0.314,0.079,0.07,0.067,0.069,0.064,0.062,0.06,0.055,0.16,49528,23222,155874,223755,45279,124475,196177,29077,976,3299,42356,22887,94742,34895,16598,0.047,0.022,0.147,0.21,0.043,0.117,0.185,0.027,0.001,0.003,0.04,0.022,0.089,0.033,0.016,6877,17,62,16,3880,1103278,10360,0.0061,0,0.0001,0,0.0035,0.9811,0.0092,978726,190098,269600,6884,22413,22402,49956,405521,11852,0.194,0.275,0.007,0.023,0.023,0.051,0.414,0.012,978726,190098,269600,6884,22413,22402,49956,405521,11852,0.194,0.275,0.007,0.023,0.023,0.051,0.414,0.012,226936,101767,17279,1377,3826,14449,3477,0.615,0.276,0.047,0.004,0.01,0.039,0.009,358502,10609,315674,53437,233357,135754,191122,174513,3476,236721,132390,90750,274840,3521,0.971,0.029,0.855,0.145,0.632,0.368,0.518,0.473,0.009,0.641,0.359,0.246,0.745,0.01,559084,576614,0.492,0.508,9099,25496,46561,87248,75192,42074,0.032,0.089,0.163,0.305,0.263,0.147
7,CALDAS,17,9,446766,26798,1210,11507,39515,1.34177849,0.060584819,0.576156619,1.978519928,46,9,PARTIDO CENTRO DEMOCRATICO,285846,0.6398,COALICION PETRO PRESIDENTE,121405,0.2717,PARTIDO CENTRO DEMOCRÁTICO: 0.171,PARTIDO CAMBIO RADICAL: 0.106,PARTIDO CONSERVADOR COLOMBIANO: 0.105,0.3681,702054,37174,5573,0.9426,0.0499,0.0075,243340,73656,68896,62806,64443,56766,59658,62151,58730,164338,0.266,0.081,0.075,0.069,0.07,0.062,0.065,0.068,0.064,0.18,36039,15674,113818,175709,33476,114017,184452,22341,1548,2278,41376,21545,77598,24516,9771,0.041,0.018,0.13,0.201,0.038,0.13,0.211,0.026,0.002,0.003,0.047,0.025,0.089,0.028,0.011,55632,37,107,30,14447,837707,6824,0.0608,0,0.0001,0,0.0158,0.9157,0.0075,818410,176244,198080,8655,25498,26242,43925,333227,6539,0.215,0.242,0.011,0.031,0.032,0.054,0.407,0.008,818410,176244,198080,8655,25498,26242,43925,333227,6539,0.215,0.242,0.011,0.031,0.032,0.054,0.407,0.008,241415,40454,5671,1535,10747,2768,1919,0.793,0.133,0.019,0.005,0.035,0.009,0.006,300623,3886,270261,34248,247395,57114,191171,111351,1987,249435,55074,130032,172438,2039,0.987,0.013,0.888,0.112,0.812,0.188,0.628,0.366,0.007,0.819,0.181,0.427,0.566,0.007,447499,475973,0.485,0.515,11550,18760,31035,60002,79212,33995,0.049,0.08,0.132,0.256,0.338,0.145
8,CAQUETA,18,44,129933,4912,274,1688,6874,0.245944322,0.013719207,0.084518326,0.344181855,40,5,PARTIDO CENTRO DEMOCRATICO,79803,0.6142,COALICION PETRO PRESIDENTE,43256,0.3329,PARTIDO ALIANZA SOCIAL INDEPENDIENTE: 0.204,PARTIDO POLITICO MIRA: 0.114,PARTIDO SOMOS: 0.048,0.2813,227841,17088,3428,0.9174,0.0688,0.0138,135282,31507,28605,25294,23565,20274,18898,17084,14057,33776,0.388,0.09,0.082,0.073,0.068,0.058,0.054,0.049,0.04,0.097,17844,8964,45238,84943,14046,48719,53274,8886,334,1024,8842,3170,18462,6130,10238,0.054,0.027,0.137,0.257,0.043,0.148,0.161,0.027,0.001,0.003,0.027,0.01,0.056,0.019,0.031,8402,20,30,14,4947,324063,10866,0.0241,0.0001,0.0001,0,0.0142,0.9303,0.0312,295758,91704,46417,1353,16041,5076,10280,112018,12869,0.31,0.157,0.005,0.054,0.017,0.035,0.379,0.044,295758,91704,46417,1353,16041,5076,10280,112018,12869,0.31,0.157,0.005,0.054,0.017,0.035,0.379,0.044,70401,26162,1950,515,2905,6749,1843,0.637,0.237,0.018,0.005,0.026,0.061,0.017,93242,17283,80362,30163,72630,37895,40608,67966,1951,80237,30288,16740,91374,2411,0.844,0.156,0.727,0.273,0.657,0.343,0.367,0.615,0.018,0.726,0.274,0.151,0.827,0.022,182378,177224,0.507,0.493,4816,11030,17512,28744,14419,9033,0.056,0.129,0.205,0.336,0.169,0.106
