,Departamento,DPTO_CCDGO,Codigo_Departamento,Total_votos,votos_en_blanco,votos_no_marcados,votos_nulos,Total_votos_No_Validos,votos_en_blanco_Norm,votos_no_marcados_Norm,votos_nulos_Norm,Total_votos_No_Validos_Norm,Total_Partidos,Total_Partidos_95,Partido_1,Partido_1_Votos,Partido_1_Porc,Partido_2,Partido_2_Votos,Partido_2_Porc,Partido_3,Partido_4,Partido_5,Diff,ALF_Sabe_Leer,ALF_No_Sabe_Leer,ALF_SININF,ALF_Sabe_Leer_Norm,ALF_No_Sabe_Leer_Norm,ALF_SININF_Norm,EDAD_19_menos,EDAD_20-24_anos,EDAD_25-29_anos,EDAD_30-34_anos,EDAD_35-39_anos,EDAD_40-44_anos,EDAD_45-49_anos,EDAD_50-54_anos,EDAD_55-59_anos,EDAD_60_mas,EDAD_19_o_menor,EDAD_20_24_Norm,EDAD_25_29_Norm,EDAD_30_34_Norm,EDAD_35_39_Norm,EDAD_40_44_Norm,EDAD_45_49_Norm,EDAD_50_54_Norm,EDAD_55_59_Norm,EDAD_60_o_mas,ED_Ninguno,ED_Preescolar,ED_Primaria_Completa,ED_Primaria_Incompleta,ED_Secundaria_Completa,ED_Secundaria_Incompleta,ED_Media_Completa,ED_Media_Incompleta,ED_Ordinaria_Completa,ED_Ordinaria_Incompleta,ED_Tecnico,ED_Tecnologico,ED_Universitario,ED_Postgrado,ED_SININF,ED_Ninguno_Norm,ED_Preescolar_Norm,ED_Primaria_Completa_Norm,ED_Primaria_Incompleta_Norm,ED_Secundaria_Completa_Norm,ED_Secundaria_Incompleta_Norm,ED_Media_Completa_Norm,ED_Media_Incompleta_Norm,ED_Ordinaria_Completa_Norm,ED_Ordinaria_Incompleta_Norm,ED_Tecnico_Norm,ED_Tecnologico_Norm,ED_Universitario_Norm,ED_Postgrado_Norm,ED_SININF_Norm,ET_Indigena,ET_Gitano,ET_Raizal,ET_Palenquero,ET_Negro,ET_NOETNIA,ET_SININF,ET_Indigena_Norm,ET_Gitano_Norm,ET_Raizal_Norm,ET_Palenquero_Norm,ET_Negro_Norm,ET_NOETNIA_Norm,ET_SININF_Norm,Total_x,EST_Union_libre_x,EST_Casado_x,EST_Divorciado_x,EST_Separado_de_union_libre_x,EST_Separado_de_matrimonio_x,EST_Viudo_x,EST_Soltero_x,EST_SININF_x,EST_Union_libre_Norm,EST_Casado_Norm,EST_Divorciado_Norm,EST_Separado_de_union_libre_Norm,EST_Separado_de_matrimonio_Norm,EST_Viudo_Norm,EST_Soltero_Norm,EST_SININF_Norm,Total_y,EST_Union_libre_y,EST_Casado_y,EST_Divorciado_y,EST_Separado_de_union_libre_y,EST_Separado_de_matrimonio_y,EST_Viudo_y,EST_Soltero_y,EST_SININF_y,EST_Union_libre_Norm_y,EST_Casado_Norm_y,EST_Divorciado_Norm_y,EST_Separado_de_union_libre_Norm_y,EST_Separado_de_matrimonio_Norm_y,EST_Viudo_Norm_y,EST_Soltero_Norm_y,EST_SININF_Norm_y,SAN_Inodoro-alcantarillado,SAN_Inodoro-pozo_septico,SAN_Inodoro_sin_conexion,SAN_Letrina,SAN_Inodoro-fuentes_de_agua,SAN_Sin_servicio_sanitario,SAN_SININF,SAN_Inodoro_alcantarillado_Norm,SAN_Inodoro_pozo_septico_Norm,SAN_Inodoro_sin_conexion_Norm,SAN_Letrina_Norm,SAN_Inodoro_fuentes_de_agua_Norm,SAN_Sin_servicio_sanitario_Norm,SAN_SININF_Norm,SER_Energia_electrica_Si,SER_Energia_electrica_No,SER_Acueducto_Si,SER_Acueducto_No,SER_Alcantarillado_Si,SER_Alcantarillado_No,SER_Gas_natural_Si,SER_Gas_natural_No,SER_Gas_natural_Sin_informacion,SER_Basuras_Si,SER_Basuras_No,SER_Internet_Si,SER_Internet_No,SER_Internet_Sin_informacion,SER_Energia_electrica_Si_Norm,SER_Energia_electrica_No_Norm,SER_Acueducto_Si_Norm,SER_Acueducto_No_Norm,SER_Alcantarillado_Si_Norm,SER_Alcantarillado_No_Norm,SER_Gas_natural_Si_Norm,SER_Gas_natural_No_Norm,SER_Gas_natural_Sin_informacion_Norm,SER_Basuras_Si_Norm,SER_Basuras_No_Norm,SER_Internet_Si_Norm,SER_Internet_No_Norm,SER_Internet_Sin_informacion_Norm,SX_Hombre,SX_Mujer,SX_Hombre_Norm,SX_Mujer_Norm,Pareja_joven_sin_hijos,Etapa_inicial,Etapa_de_expansion_,Etapa_de_consolidacion_,Etapa_de_salida_,Pareja_mayor_sin_hijos,TH_Pareja_joven_sin_hijos_Norm,TH_Etapa_inicial_Norm,TH_Etapa_de_expansion__Norm,TH_Etapa_de_consolidacion__Norm,TH_Etapa_de_salida__Norm,TH_Pareja_mayor_sin_hijos_Norm
9,CASANARE,85,46,178742,6270,226,2674,9170,0.313939515,0.011315842,0.133887442,0.4591428,43,5,PARTIDO CENTRO DEMOCRATICO,128124,0.7168,COALICION PETRO PRESIDENTE,41448,0.2319,PARTIDO LIBERAL COLOMBIANO: 0.192,PARTIDO CAMBIO RADICAL: 0.175,PARTIDO DE LA U: 0.029,0.4849,258484,13502,2771,0.9408,0.0491,0.0101,134896,34224,32564,30986,28760,25177,22300,18889,14866,31966,0.36,0.091,0.087,0.083,0.077,0.067,0.06,0.05,0.04,0.085,14502,9344,49490,70296,15545,49021,70217,10533,230,828,14559,5615,25899,6900,3,0.042,0.027,0.144,0.205,0.045,0.143,0.205,0.031,0.001,0.002,0.042,0.016,0.076,0.02,0,6429,11,28,13,5977,358837,3333,0.0172,0,0.0001,0,0.016,0.9578,0.0089,314966,97528,54830,1528,16346,5776,9741,123626,5591,0.31,0.174,0.005,0.052,0.018,0.031,0.393,0.018,314966,97528,54830,1528,16346,5776,9741,123626,5591,0.31,0.174,0.005,0.052,0.018,0.031,0.393,0.018,86128,28680,640,363,198,3079,1091,0.717,0.239,0.005,0.003,0.002,0.026,0.009,112348,7831,95984,24195,87851,32328,90065,29004,1110,94829,25350,30308,88743,1128,0.935,0.065,0.799,0.201,0.731,0.269,0.749,0.241,0.009,0.789,0.211,0.252,0.738,0.009,192020,187872,0.505,0.495,5543,12819,19633,30987,16230,9573,0.058,0.135,0.207,0.327,0.171,0.101
10,CAUCA,19,11,509128,13945,1421,8985,24351,0.698227519,0.071149609,0.449879832,1.21925696,43,10,COALICION PETRO PRESIDENTE,324640,0.6376,PARTIDO CENTRO DEMOCRATICO,160137,0.3145,PARTIDO CONSERVADOR COLOMBIANO: 0.086,PARTIDO CENTRO DEMOCRÁTICO: 0.079,PARTIDO POLITICO MIRA: 0.061,-0.3231,851076,69459,8220,0.9164,0.0748,0.0089,421349,114253,101715,93193,89832,73648,67032,62801,55934,155777,0.341,0.092,0.082,0.075,0.073,0.06,0.054,0.051,0.045,0.126,56673,26564,155431,297587,45009,146920,219492,32197,1799,3599,42413,18459,65455,18944,17057,0.049,0.023,0.135,0.259,0.039,0.128,0.191,0.028,0.002,0.003,0.037,0.016,0.057,0.017,0.015,307692,38,92,86,244525,672189,10912,0.249,0,0.0001,0.0001,0.1979,0.544,0.0088,1044722,311898,176316,3973,39561,14066,39403,446380,13125,0.299,0.169,0.004,0.038,0.013,0.038,0.427,0.013,1044722,311898,176316,3973,39561,14066,39403,446380,13125,0.299,0.169,0.004,0.038,0.013,0.038,0.427,0.013,158093,143995,6698,19568,8834,28187,2418,0.43,0.392,0.018,0.053,0.024,0.077,0.007,336910,30883,239233,128560,163290,204503,101100,264114,2579,163693,204100,57774,307230,2789,0.916,0.084,0.65,0.35,0.444,0.556,0.275,0.718,0.007,0.445,0.555,0.157,0.835,0.008,615833,627670,0.495,0.505,12126,43663,59641,95208,75465,36363,0.038,0.135,0.185,0.295,0.234,0.113
11,CESAR,20,12,404733,8701,414,4547,13662,0.435659924,0.020729021,0.227668736,0.684057681,46,7,PARTIDO CENTRO DEMOCRATICO,216815,0.5357,COALICION PETRO PRESIDENTE,174256,0.4305,PARTIDO CAMBIO RADICAL: 0.157,PARTIDO LIBERAL COLOMBIANO: 0.111,PARTIDO CENTRO DEMOCRÁTICO: 0.098,0.1052,695243,66342,6637,0.905,0.0864,0.0086,433163,96664,90261,79921,74385,63932,58393,51602,42253,103009,0.396,0.088,0.083,0.073,0.068,0.058,0.053,0.047,0.039,0.094,72536,31214,110511,193250,37508,136125,199106,31325,1197,3178,61116,16562,73727,14177,13869,0.073,0.031,0.111,0.194,0.038,0.137,0.2,0.031,0.001,0.003,0.061,0.017,0.074,0.014,0.014,50975,20,121,75,142149,890104,10139,0.0466,0,0.0001,0.0001,0.13,0.8139,0.0093,884545,301625,125473,2558,75507,10898,29371,329220,9893,0.341,0.142,0.003,0.085,0.012,0.033,0.372,0.011,884545,301625,125473,2558,75507,10898,29371,329220,9893,0.341,0.142,0.003,0.085,0.012,0.033,0.372,0.011,214993,52810,2521,723,1987,21580,1921,0.725,0.178,0.009,0.002,0.007,0.073,0.006,279957,16578,250721,45814,219074,77461,192045,102382,2108,228850,67685,76308,218026,2201,0.944,0.056,0.846,0.154,0.739,0.261,0.648,0.345,0.007,0.772,0.228,0.257,0.735,0.007,543838,554739,0.495,0.505,12837,36204,50498,82513,53261,22516,0.05,0.14,0.196,0.32,0.207,0.087
12,CHOCO,27,17,121434,2265,490,2365,5120,0.113408772,0.024534348,0.118415782,0.256358902,40,5,COALICION PETRO PRESIDENTE,69842,0.5751,PARTIDO CENTRO DEMOCRATICO,46472,0.3827,PARTIDO CAMBIO RADICAL: 0.200,C.C. ANCESTRAL DE COMUNIDADES NEGRAS PLAYA RENACIENTE: 0.052,PARTIDO POLITICO MIRA: 0.024,-0.1924,244607,42607,10823,0.8207,0.143,0.0363,201416,39074,37390,33101,27502,23173,20104,17681,16457,38461,0.443,0.086,0.082,0.073,0.061,0.051,0.044,0.039,0.036,0.085,35183,11653,35348,100949,14854,56201,56316,12120,1365,1729,11404,2941,28104,5869,32571,0.087,0.029,0.087,0.248,0.037,0.138,0.139,0.03,0.003,0.004,0.028,0.007,0.069,0.014,0.08,68366,36,130,124,337160,20866,27677,0.1505,0.0001,0.0003,0.0003,0.7421,0.0459,0.0609,353237,132562,25289,790,16052,1766,7941,143043,25794,0.375,0.072,0.002,0.045,0.005,0.022,0.405,0.073,353237,132562,25289,790,16052,1766,7941,143043,25794,0.375,0.072,0.002,0.045,0.005,0.022,0.405,0.073,22720,32040,6671,929,20952,39403,5410,0.177,0.25,0.052,0.007,0.164,0.308,0.042,97143,30982,36562,91563,26082,102043,2970,120297,4858,62208,65917,17058,104918,6149,0.758,0.242,0.285,0.715,0.204,0.796,0.023,0.939,0.038,0.486,0.514,0.133,0.819,0.048,225982,231430,0.494,0.506,5480,13721,21573,32565,15803,8703,0.056,0.14,0.22,0.333,0.162,0.089
13,CORDOBA,23,13,624885,9215,854,4537,14606,0.461395954,0.042759864,0.227168035,0.731323853,43,5,PARTIDO CENTRO DEMOCRATICO,310683,0.4972,COALICION PETRO PRESIDENTE,299596,0.4794,PARTIDO CONSERVADOR COLOMBIANO: 0.169,PARTIDO CENTRO DEMOCRÁTICO: 0.091,COALICION COLOMBIA: 0.020,0.0178,993178,129909,7969,0.8781,0.1149,0.007,570761,131569,117108,105944,103037,92130,89290,83460,71367,187407,0.368,0.085,0.075,0.068,0.066,0.059,0.058,0.054,0.046,0.121,129392,37749,174845,280698,58670,201188,274106,47729,1666,3167,75723,20004,93962,18724,13610,0.09,0.026,0.122,0.196,0.041,0.141,0.192,0.033,0.001,0.002,0.053,0.014,0.066,0.013,0.01,202606,142,167,77,102237,1237579,9265,0.1305,0.0001,0.0001,0,0.0659,0.7974,0.006,1289815,464244,178798,3134,81254,12672,47638,492427,9648,0.36,0.139,0.002,0.063,0.01,0.037,0.382,0.007,1289815,464244,178798,3134,81254,12672,47638,492427,9648,0.36,0.139,0.002,0.063,0.01,0.037,0.382,0.007,164103,172299,5519,12935,3698,51286,2039,0.398,0.418,0.013,0.031,0.009,0.125,0.005,395853,16026,280367,131512,171842,240037,194127,215661,2091,217204,194675,72344,337380,2155,0.961,0.039,0.681,0.319,0.417,0.583,0.471,0.524,0.005,0.527,0.473,0.176,0.819,0.005,774448,781148,0.498,0.502,18715,49186,66380,111985,90653,47612,0.049,0.128,0.173,0.291,0.236,0.124
14,CUNDINAMARCA,25,15,1191009,54650,1185,23271,79106,2.736330863,0.059333066,1.165181254,3.960845183,45,9,PARTIDO CENTRO DEMOCRATICO,661521,0.5554,COALICION PETRO PRESIDENTE,450382,0.3782,PARTIDO DE LA U: 0.127,PARTIDO CONSERVADOR COLOMBIANO: 0.115,PARTIDO LIBERAL COLOMBIANO: 0.108,0.1772,2066046,68083,21447,0.9585,0.0316,0.0099,849767,241429,225633,212579,209071,178562,172491,166158,144830,368277,0.307,0.087,0.081,0.077,0.076,0.064,0.062,0.06,0.052,0.133,74710,59855,360813,423910,111402,315749,601734,69890,2330,8077,158170,69234,255370,57050,40494,0.029,0.023,0.138,0.162,0.043,0.121,0.231,0.027,0.001,0.003,0.061,0.027,0.098,0.022,0.016,9897,95,146,59,12757,2718390,27453,0.0036,0,0.0001,0,0.0046,0.9818,0.0099,2402599,635732,514870,14003,89415,53198,91777,973709,29895,0.265,0.214,0.006,0.037,0.022,0.038,0.405,0.012,2402599,635732,514870,14003,89415,53198,91777,973709,29895,0.265,0.214,0.006,0.037,0.022,0.038,0.405,0.012,678622,191329,9278,863,5325,7902,6421,0.754,0.213,0.01,0.001,0.006,0.009,0.007,885722,14018,807017,92723,690966,208774,624544,268719,6477,739380,160360,377456,515669,6615,0.984,0.016,0.897,0.103,0.768,0.232,0.694,0.299,0.007,0.822,0.178,0.42,0.573,0.007,1379858,1413019,0.494,0.506,36620,75449,125286,209200,182046,91753,0.051,0.105,0.174,0.29,0.253,0.127
15,GUAINIA,94,50,10428,321,20,117,458,0.016072502,0.001001402,0.005858201,0.022932105,30,5,PARTIDO CENTRO DEMOCRATICO,5873,0.5632,COALICION PETRO PRESIDENTE,4097,0.3929,PARTIDO CENTRO DEMOCRÁTICO: 0.237,PARTIDO ALIANZA SOCIAL INDEPENDIENTE: 0.129,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS: 0.047,0.1703,21902,2253,562,0.8861,0.0912,0.0227,16892,3754,3068,2627,2412,2015,1764,1492,1253,2305,0.449,0.1,0.082,0.07,0.064,0.054,0.047,0.04,0.033,0.061,2545,2179,4775,13122,1495,6706,3046,1010,33,79,1064,634,1121,461,44,0.066,0.057,0.125,0.342,0.039,0.175,0.08,0.026,0.001,0.002,0.028,0.017,0.029,0.012,0.001,27780,5,5,4,442,8164,1182,0.7392,0.0001,0.0001,0.0001,0.0118,0.2172,0.0315,33269,10344,3974,64,985,161,710,11545,5486,0.311,0.119,0.002,0.03,0.005,0.021,0.347,0.165,33269,10344,3974,64,985,161,710,11545,5486,0.311,0.119,0.002,0.03,0.005,0.021,0.347,0.165,2372,3196,143,149,60,3250,194,0.253,0.341,0.015,0.016,0.006,0.347,0.021,5822,3542,2047,7317,2621,6743,0,9364,0,3615,5749,693,8442,229,0.622,0.378,0.219,0.781,0.28,0.72,0,1,0,0.386,0.614,0.074,0.902,0.024,23214,21217,0.522,0.478,486,1244,1720,3070,1122,494,0.06,0.153,0.211,0.377,0.138,0.061
16,GUAVIARE,95,54,27655,1407,75,580,2062,0.070448628,0.003755257,0.029040657,0.103244542,35,3,PARTIDO CENTRO DEMOCRATICO,15754,0.5697,COALICION PETRO PRESIDENTE,9839,0.3558,PARTIDO DE LA U: 0.235,NO INFO,NO INFO,0.2139,44767,3190,662,0.9208,0.0656,0.0136,25030,6042,5164,4889,4667,4493,4013,3710,3051,5968,0.373,0.09,0.077,0.073,0.07,0.067,0.06,0.055,0.046,0.089,3437,1563,8972,17666,3010,10271,9077,1893,98,283,2829,1353,2755,1116,5,0.053,0.024,0.139,0.275,0.047,0.16,0.141,0.029,0.002,0.004,0.044,0.021,0.043,0.017,0,6269,3,5,5,2895,56193,1657,0.0935,0,0.0001,0.0001,0.0432,0.8384,0.0247,60690,19383,7206,254,4077,792,1586,21457,5935,0.319,0.119,0.004,0.067,0.013,0.026,0.354,0.098,60690,19383,7206,254,4077,792,1586,21457,5935,0.319,0.119,0.004,0.067,0.013,0.026,0.354,0.098,9577,8202,259,104,284,3359,361,0.432,0.37,0.012,0.005,0.013,0.152,0.016,16455,5691,10029,12117,10255,11891,4150,17644,352,13943,8203,2809,18904,433,0.743,0.257,0.453,0.547,0.463,0.537,0.187,0.797,0.016,0.63,0.37,0.127,0.854,0.02,39080,34001,0.535,0.465,1004,1850,3254,5526,2602,1706,0.063,0.116,0.204,0.347,0.163,0.107
17,HUILA,41,19,463850,15006,595,5721,21322,0.751351893,0.029791708,0.286451031,1.067594632,44,7,PARTIDO CENTRO DEMOCRATICO,296425,0.6391,COALICION PETRO PRESIDENTE,146103,0.315,PARTIDO CENTRO DEMOCRÁTICO: 0.146,PARTIDO LIBERAL COLOMBIANO: 0.143,PARTIDO DE LA U: 0.136,0.3241,699925,41315,6671,0.9358,0.0552,0.0089,348486,87657,79710,71739,69375,59947,57197,55125,48755,123863,0.348,0.087,0.08,0.072,0.069,0.06,0.057,0.055,0.049,0.124,39808,24010,140681,211823,39903,126809,175448,23977,626,1950,29744,13970,68716,17970,13664,0.043,0.026,0.151,0.228,0.043,0.136,0.189,0.026,0.001,0.002,0.032,0.015,0.074,0.019,0.015,12120,35,43,29,4971,976255,8401,0.0121,0,0,0,0.005,0.9744,0.0084,845652,207408,207315,4068,26889,18374,33298,338344,9956,0.245,0.245,0.005,0.032,0.022,0.039,0.4,0.012,845652,207408,207315,4068,26889,18374,33298,338344,9956,0.245,0.245,0.005,0.032,0.022,0.039,0.4,0.012,202261,68851,10710,949,8585,7900,2395,0.671,0.228,0.036,0.003,0.028,0.026,0.008,288382,13269,256798,44853,207477,94174,200504,98726,2421,206020,95631,77438,221755,2458,0.956,0.044,0.851,0.149,0.688,0.312,0.665,0.327,0.008,0.683,0.317,0.257,0.735,0.008,503766,505782,0.499,0.501,10366,29688,45239,79947,58310,30564,0.041,0.117,0.178,0.315,0.229,0.12
18,LA GUAJIRA,44,48,216253,3537,282,2404,6223,0.177097937,0.014119768,0.120368516,0.311586221,42,7,PARTIDO CENTRO DEMOCRATICO,106483,0.4924,COALICION PETRO PRESIDENTE,103547,0.4788,PARTIDO LIBERAL COLOMBIANO: 0.213,PARTIDO CAMBIO RADICAL: 0.052,MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA: 0.024,0.0136,437314,90344,6418,0.8188,0.1692,0.012,368733,76450,66041,58548,51999,41615,35827,31171,27571,60425,0.451,0.093,0.081,0.072,0.064,0.051,0.044,0.038,0.034,0.074,101501,25434,69393,170930,24930,102730,108273,19751,1017,1794,29350,8813,45254,6559,12171,0.139,0.035,0.095,0.235,0.034,0.141,0.149,0.027,0.001,0.002,0.04,0.012,0.062,0.009,0.017,389883,29,108,111,60246,358937,9066,0.4764,0,0.0001,0.0001,0.0736,0.4386,0.0111,629082,238804,48929,1422,40467,4030,13983,266902,14545,0.38,0.078,0.002,0.064,0.006,0.022,0.424,0.023,629082,238804,48929,1422,40467,4030,13983,266902,14545,0.38,0.078,0.002,0.064,0.006,0.022,0.424,0.023,87353,34363,2832,1387,857,86949,1126,0.407,0.16,0.013,0.006,0.004,0.405,0.005,130335,84532,100043,114824,89975,124892,86305,127499,1063,99152,115715,23171,190543,1153,0.607,0.393,0.466,0.534,0.419,0.581,0.402,0.593,0.005,0.461,0.539,0.108,0.887,0.005,404215,421149,0.49,0.51,8618,32680,39573,60496,31831,9983,0.047,0.178,0.216,0.33,0.174,0.054
19,MAGDALENA,47,21,440719,8543,433,3800,12776,0.427748848,0.021680352,0.190266373,0.639695574,44,6,PARTIDO CENTRO DEMOCRATICO,226098,0.513,COALICION PETRO PRESIDENTE,201845,0.458,PARTIDO OPCIÓN CIUDADANA: 0.138,PARTIDO DE LA U: 0.133,PARTIDO CONSERVADOR COLOMBIANO: 0.098,0.055,809810,81391,6968,0.9016,0.0906,0.0078,488560,108796,97164,87525,82931,73637,68783,63350,54039,135757,0.388,0.086,0.077,0.069,0.066,0.058,0.055,0.05,0.043,0.108,82711,32887,124770,226095,48566,175020,232160,39958,1412,2233,65621,15051,76740,14655,14016,0.072,0.029,0.108,0.196,0.042,0.152,0.202,0.035,0.001,0.002,0.057,0.013,0.067,0.013,0.012,20536,39,93,80,106114,1124721,8959,0.0163,0,0.0001,0.0001,0.0842,0.8923,0.0071,1028746,357968,153295,2861,67139,12008,36050,389765,9660,0.348,0.149,0.003,0.065,0.012,0.035,0.379,0.009,1028746,357968,153295,2861,67139,12008,36050,389765,9660,0.348,0.149,0.003,0.065,0.012,0.035,0.379,0.009,164026,113046,3268,3756,2040,31141,2029,0.514,0.354,0.01,0.012,0.006,0.098,0.006,300043,19263,230955,88351,167990,151316,206326,111040,1940,223958,95348,79508,237765,2033,0.94,0.06,0.723,0.277,0.526,0.474,0.646,0.348,0.006,0.701,0.299,0.249,0.745,0.006,632502,631286,0.5,0.5,13034,35440,50976,92275,68600,28349,0.045,0.123,0.177,0.32,0.238,0.098
20,META,50,52,421873,17263,473,7320,25056,0.864360104,0.023683156,0.366513118,1.254556379,43,7,PARTIDO CENTRO DEMOCRATICO,265210,0.6286,COALICION PETRO PRESIDENTE,131607,0.312,PARTIDO CAMBIO RADICAL: 0.186,PARTIDO DE LA U: 0.109,COALICION COLOMBIA: 0.058,0.3166,634261,28142,13311,0.9387,0.0416,0.0197,306773,79387,75059,69469,67061,57586,53712,50681,42891,98601,0.34,0.088,0.083,0.077,0.074,0.064,0.06,0.056,0.048,0.109,33678,19628,110860,158589,33877,115319,177838,23358,887,2400,45674,14664,73946,17737,21983,0.04,0.023,0.13,0.186,0.04,0.136,0.209,0.027,0.001,0.003,0.054,0.017,0.087,0.021,0.026,20024,32,94,30,8460,855796,16784,0.0222,0,0.0001,0,0.0094,0.9496,0.0186,774477,236411,131099,4011,39483,14707,27935,298564,22267,0.305,0.169,0.005,0.051,0.019,0.036,0.386,0.029,774477,236411,131099,4011,39483,14707,27935,298564,22267,0.305,0.169,0.005,0.051,0.019,0.036,0.386,0.029,221496,50680,1205,453,2350,9397,3179,0.767,0.176,0.004,0.002,0.008,0.033,0.011,266456,22304,228211,60549,226219,62541,191182,94374,3204,240108,48652,97245,188198,3317,0.923,0.077,0.79,0.21,0.783,0.217,0.662,0.327,0.011,0.832,0.168,0.337,0.652,0.011,464906,454223,0.506,0.494,12786,26301,41878,69977,48744,25599,0.057,0.117,0.186,0.311,0.216,0.114
